Date,CL,NG,HO,
20101001,0,0,1,466959.0
20101004,0,0,1,466577.0
20101005,0,0,1,467329.0
20101006,1,0,1,467308.0
20101007,1,0,1,463396.0
20101008,1,0,1,465650.0
20101011,1,0,1,465078.0
20101012,1,0,1,463845.0
20101013,1,0,1,466790.0
20101014,1,0,1,465764.0
20101015,1,0,1,462094.0
20101018,1,1,0,463601.0
20101019,0,1,0,459543.0
20101020,0,1,0,459283.0
20101021,0,1,0,460993.0
20101022,0,1,0,461353.0
20101025,0,1,0,461503.0
20101026,0,1,0,460503.0
20101027,0,1,0,460533.0
20101028,0,1,0,459263.0
20101029,0,0,0,458812.0
20101101,0,0,0,458812.0
20101102,0,0,0,458812.0
20101103,0,0,0,458812.0
20101104,1,0,1,460168.0
20101105,1,0,1,461019.0
20101108,1,0,1,461771.0
20101109,1,0,1,461809.0
20101110,1,0,1,464377.0
20101111,1,0,1,463735.0
20101112,1,0,1,458142.0
20101115,1,0,1,458445.0
20101116,0,0,0,456143.0
20101117,0,0,0,456143.0
20101118,0,0,0,456143.0
20101119,0,0,0,456143.0
20101122,0,0,0,456143.0
20101123,0,0,0,456143.0
20101124,0,0,0,456143.0
20101126,0,0,0,456143.0
20101129,0,0,0,456143.0
20101130,0,0,0,456143.0
20101201,0,0,0,456143.0
20101202,0,0,0,456143.0
20101203,1,0,1,457250.0
20101206,1,0,1,456949.0
20101207,1,0,1,456028.0
20101208,1,0,1,455219.0
20101209,1,0,1,455565.0
20101210,1,0,1,454594.0
20101213,1,0,1,455738.0
20101214,1,0,1,455521.0
20101215,1,0,1,456516.0
20101216,1,0,1,455294.0
20101217,1,0,1,455385.0
20101220,1,0,1,456818.0
20101221,1,0,1,458398.0
20101222,1,0,1,459566.0
20101223,1,0,1,461113.0
20101227,1,0,1,459587.0
20101228,1,0,1,460400.0
20101229,1,0,1,459912.0
20101230,1,0,0,456635.0
20101231,1,0,0,458175.0
20110103,1,0,1,457048.0
20110104,0,0,1,452977.0
20110105,0,0,1,454476.0
20110106,0,0,1,453174.0
20110107,0,0,1,452128.0
20110110,0,0,1,455060.0
20110111,0,0,1,457273.0
20110112,0,0,1,457685.0
20110113,0,0,1,457286.0
20110114,0,0,1,458802.0
20110118,0,0,1,458832.0
20110119,0,0,1,459264.0
20110120,0,1,1,458202.0
20110121,0,1,1,459771.0
20110124,0,1,1,456888.0
20110125,0,1,0,453828.0
20110126,0,1,1,454169.0
20110127,0,0,1,451780.0
20110128,0,0,1,453422.0
20110131,0,0,1,455358.0
20110201,0,0,1,456060.0
20110202,0,0,1,457055.0
20110203,0,0,1,456497.0
20110204,0,0,1,454367.0
20110207,0,0,1,453922.0
20110208,0,0,1,455001.0
20110209,0,0,1,456560.0
20110210,0,0,1,454115.0
20110211,0,1,0,453659.0
20110214,0,1,0,453509.0
20110215,0,1,0,452999.0
20110216,0,1,0,453549.0
20110217,0,1,0,454079.0
20110218,0,1,0,453999.0
20110222,1,1,1,450735.0
20110223,1,1,1,457850.0
20110224,1,1,1,456511.0
20110225,1,1,1,457977.0
20110228,1,0,1,455848.0
20110301,1,1,1,462059.0
20110302,1,1,1,466646.0
20110303,1,1,1,466373.0
20110304,1,1,1,470253.0
20110307,1,1,1,469102.0
20110308,1,1,1,467018.0
20110309,1,1,1,468222.0
20110310,1,1,1,466458.0
20110311,1,1,1,463660.0
20110314,1,1,1,464902.0
20110315,0,1,0,457985.0
20110316,0,1,0,458015.0
20110317,0,0,0,457195.0
20110318,1,0,1,452029.0
20110321,1,0,1,454454.0
20110322,1,0,1,457329.0
20110323,1,0,1,457219.0
20110324,1,0,1,457363.0
20110325,1,0,1,456860.0
20110328,1,0,1,454185.0
20110329,1,0,1,455692.0
20110330,1,0,1,455008.0
20110331,1,0,1,459940.0
20110401,1,0,1,462084.0
20110404,1,0,1,464164.0
20110405,1,0,1,464605.0
20110406,1,0,1,465356.0
20110407,1,0,1,467447.0
20110408,1,0,1,474713.0
20110411,1,0,1,469020.0
20110412,0,0,1,463139.0
20110413,0,0,1,464407.0
20110414,0,0,1,463828.0
20110415,0,0,1,465306.0
20110418,0,0,0,463736.0
20110419,0,0,0,463736.0
20110420,0,0,0,463736.0
20110421,0,0,0,463736.0
20110425,1,0,0,462573.0
20110426,1,0,0,462503.0
20110427,1,0,0,463053.0
20110428,1,0,0,463153.0
20110429,1,0,0,464223.0
20110502,1,0,0,463813.0
20110503,1,0,0,461343.0
20110504,1,0,0,459533.0
20110505,0,0,0,457727.0
20110506,0,0,0,457727.0
20110509,0,0,0,457727.0
20110510,0,0,0,457727.0
20110511,0,0,0,457727.0
20110512,0,0,0,457727.0
20110513,0,0,0,457727.0
20110516,0,0,0,457727.0
20110517,0,0,0,457727.0
20110518,0,0,0,457727.0
20110519,0,0,0,457727.0
20110520,0,0,0,457727.0
20110523,0,0,0,457727.0
20110524,0,0,0,457727.0
20110525,0,0,0,457727.0
20110526,0,0,0,457727.0
20110527,0,0,0,457727.0
20110531,0,1,0,457711.0
20110601,0,1,0,457341.0
20110602,0,1,0,458991.0
20110603,0,1,0,458121.0
20110606,0,1,0,459321.0
20110607,0,1,0,459361.0
20110608,0,1,0,459521.0
20110609,0,1,0,457791.0
20110610,0,1,0,458621.0
20110613,0,1,0,457511.0
20110614,0,1,0,456861.0
20110615,0,1,0,456821.0
20110616,0,0,0,456221.0
20110617,1,0,0,457103.0
20110620,1,0,0,456873.0
20110621,1,0,0,456333.0
20110622,1,0,0,455093.0
20110623,1,0,1,462127.0
20110624,1,0,1,463305.0
20110627,1,0,1,463242.0
20110628,1,0,1,458409.0
20110629,1,0,1,452614.0
20110630,1,0,1,451477.0
20110701,1,0,1,452873.0
20110705,0,0,1,450032.0
20110706,0,0,1,449751.0
20110707,0,0,0,448866.0
20110708,0,0,0,448866.0
20110711,0,0,0,448866.0
20110712,0,0,0,448866.0
20110713,0,0,0,448866.0
20110714,0,0,0,448866.0
20110715,0,0,0,448866.0
20110718,0,0,0,448866.0
20110719,0,0,0,448866.0
20110720,0,0,0,448866.0
20110721,0,0,0,448866.0
20110722,0,0,0,448866.0
20110725,0,0,0,448866.0
20110726,0,0,0,448866.0
20110727,0,0,0,448866.0
20110728,0,0,0,448866.0
20110729,0,0,0,448866.0
20110801,0,0,0,448866.0
20110802,0,0,0,448866.0
20110803,0,0,0,448866.0
20110804,1,1,0,451083.0
20110805,1,1,0,450833.0
20110808,1,1,1,456682.0
20110809,1,1,1,459652.0
20110810,1,1,1,451751.0
20110811,1,1,1,446447.0
20110812,1,1,1,447078.0
20110815,1,1,1,443241.0
20110816,1,1,1,445874.0
20110817,0,1,1,442504.0
20110818,1,1,1,447623.0
20110819,1,1,1,445995.0
20110822,1,1,1,444235.0
20110823,1,1,1,440839.0
20110824,1,1,0,441002.0
20110825,1,1,0,440772.0
20110826,1,1,0,440642.0
20110829,1,1,0,439562.0
20110830,1,1,0,437142.0
20110831,1,0,0,436619.0
20110901,1,0,0,436499.0
20110902,1,0,0,438979.0
20110906,1,0,0,439409.0
20110907,0,0,0,435005.0
20110908,0,0,0,435005.0
20110909,0,0,0,435005.0
20110912,0,0,0,435005.0
20110913,0,0,0,435005.0
20110914,0,0,0,435005.0
20110915,0,0,0,435005.0
20110916,0,0,0,435005.0
20110919,0,0,0,435005.0
20110920,0,0,0,435005.0
20110921,0,0,0,435005.0
20110922,1,0,0,435183.0
20110923,1,0,1,436491.0
20110926,1,0,1,436282.0
20110927,1,0,1,428497.0
20110928,1,0,1,434182.0
20110929,1,0,1,433273.0
20110930,1,1,1,438097.0
20111003,1,1,1,441286.0
20111004,1,1,1,444255.0
20111005,1,1,1,438690.0
20111006,1,1,1,431951.0
20111007,0,1,1,432252.0
20111010,0,1,0,429625.0
20111011,0,1,0,428875.0
20111012,0,1,0,430145.0
20111013,0,1,0,429725.0
20111014,0,0,0,427766.0
20111017,0,0,0,427766.0
20111018,0,0,0,427766.0
20111019,0,0,0,427766.0
20111020,0,0,0,427766.0
20111021,0,0,0,427766.0
20111024,0,0,0,427766.0
20111025,0,0,0,427766.0
20111026,0,0,0,427766.0
20111027,0,0,0,427766.0
20111028,0,0,0,427766.0
20111031,0,0,0,427766.0
20111101,0,0,0,427766.0
20111102,0,0,0,427766.0
20111103,0,0,0,427766.0
20111104,0,0,0,427766.0
20111107,0,0,0,427766.0
20111108,0,0,0,427766.0
20111109,0,0,0,427766.0
20111110,0,0,0,427766.0
20111111,0,0,1,426598.0
20111114,1,1,1,425613.0
20111115,1,1,1,427765.0
20111116,1,1,1,430044.0
20111117,1,1,1,423555.0
20111118,1,1,1,421106.0
20111121,1,1,0,419345.0
20111122,1,1,0,420275.0
20111123,1,1,0,417985.0
20111125,0,1,0,416485.0
20111128,1,0,0,414318.0
20111129,1,0,0,415898.0
20111130,1,0,0,416468.0
20111201,1,0,0,416308.0
20111202,1,0,0,417068.0
20111205,1,1,0,417026.0
20111206,1,1,0,417056.0
20111207,1,1,0,416926.0
20111208,1,1,0,414416.0
20111209,1,1,0,416886.0
20111212,1,1,0,415876.0
20111213,1,1,0,417996.0
20111214,0,1,0,414982.0
20111215,0,1,0,415072.0
20111216,0,1,0,415072.0
20111219,0,1,1,415720.0
20111220,0,1,1,412502.0
20111221,0,1,1,409741.0
20111222,0,1,1,409647.0
20111223,0,1,1,410907.0
20111227,0,1,1,410180.0
20111228,0,1,1,411104.0
20111229,0,1,1,411250.0
20111230,0,1,1,411878.0
20120103,0,1,0,409825.0
20120104,0,0,0,408600.0
20120105,0,1,0,408588.0
20120106,0,1,0,407768.0
20120109,0,1,0,408278.0
20120110,0,1,0,408978.0
20120111,0,1,0,410648.0
20120112,0,1,0,411418.0
20120113,0,1,0,411688.0
20120117,0,1,0,413508.0
20120118,0,1,0,413668.0
20120119,0,1,0,415168.0
20120120,0,1,0,414958.0
20120123,0,1,0,413138.0
20120124,0,1,0,412848.0
20120125,0,0,0,411724.0
20120126,0,0,0,411724.0
20120127,0,0,0,411724.0
20120130,0,0,0,411724.0
20120131,0,1,0,411314.0
20120201,0,1,0,412524.0
20120202,0,1,0,410804.0
20120203,0,1,0,411354.0
20120206,0,1,1,410255.0
20120207,0,1,1,411883.0
20120208,0,1,1,412064.0
20120209,0,1,1,412572.0
20120210,0,1,1,411464.0
20120213,0,1,1,410995.0
20120214,0,1,1,410187.0
20120215,0,1,1,412383.0
20120216,0,1,1,411723.0
20120217,0,0,1,409296.0
20120221,1,0,1,412912.0
20120222,1,0,1,414333.0
20120223,1,0,1,416828.0
20120224,1,0,1,419650.0
20120227,1,0,1,417201.0
20120228,1,0,1,412553.0
20120229,1,0,0,411848.0
20120301,1,0,1,412907.0
20120302,1,0,1,407680.0
20120305,1,0,1,408355.0
20120306,0,0,1,405578.0
20120307,0,0,1,406888.0
20120308,0,0,1,408993.0
20120309,1,0,1,408460.0
20120312,1,0,1,406523.0
20120313,1,0,1,408081.0
20120314,1,0,1,406406.0
20120315,1,0,1,404436.0
20120316,1,0,1,408881.0
20120319,1,0,1,408995.0
20120320,1,0,1,405472.0
20120321,1,0,1,405811.0
20120322,1,0,1,402316.0
20120323,1,0,1,405155.0
20120326,1,0,1,406100.0
20120327,1,0,1,405972.0
20120328,1,0,1,403603.0
20120329,0,0,0,399026.0
20120330,0,0,0,399026.0
20120402,0,0,0,399026.0
20120403,0,0,0,399026.0
20120404,0,0,0,399026.0
20120405,0,0,0,399026.0
20120409,0,0,0,399026.0
20120410,0,0,0,399026.0
20120411,0,0,0,399026.0
20120412,0,0,0,399026.0
20120413,0,0,0,399026.0
20120416,0,0,0,399026.0
20120417,0,0,0,399026.0
20120418,0,0,0,399026.0
20120419,0,0,0,399026.0
20120420,0,0,0,399026.0
20120423,0,0,0,399026.0
20120424,0,0,0,399026.0
20120425,0,0,0,399026.0
20120426,0,0,0,399026.0
20120427,0,0,0,399026.0
20120430,0,0,0,399026.0
20120501,0,0,0,399026.0
20120502,0,0,0,399026.0
20120503,0,0,0,399026.0
20120504,1,0,1,398240.0
20120507,1,0,1,399941.0
20120508,1,0,1,400506.0
20120509,1,0,1,400328.0
20120510,1,0,1,400717.0
20120511,1,0,1,402499.0
20120514,1,0,1,405281.0
20120515,1,0,1,405934.0
20120516,1,0,1,408591.0
20120517,1,0,1,410882.0
20120518,1,0,1,412760.0
20120521,1,0,1,410427.0
20120522,1,0,1,411391.0
20120523,1,0,1,415412.0
20120524,1,0,1,414240.0
20120525,1,0,1,413750.0
20120529,1,0,1,414690.0
20120530,1,0,1,420545.0
20120531,1,0,1,423540.0
20120601,1,0,1,430003.0
20120604,1,0,1,429295.0
20120605,1,0,1,428704.0
20120606,0,0,1,425141.0
20120607,1,0,0,424834.0
20120608,1,0,1,424706.0
20120611,1,0,1,427635.0
20120612,1,0,1,427611.0
20120613,1,0,1,428756.0
20120614,1,0,1,426756.0
20120615,1,0,1,425851.0
20120618,1,0,1,427821.0
20120619,1,0,1,426340.0
20120620,1,0,1,431243.0
20120621,1,0,1,437101.0
20120622,1,0,1,435189.0
20120625,1,0,1,435537.0
20120626,1,0,1,433791.0
20120627,1,1,0,431106.0
20120628,1,1,0,432866.0
20120629,0,1,0,429803.0
20120702,0,1,0,429803.0
20120703,0,1,0,430553.0
20120705,0,1,0,431013.0
20120706,0,1,0,429323.0
20120709,0,1,0,430393.0
20120710,0,1,0,428933.0
20120711,0,1,0,430093.0
20120712,0,1,0,430303.0
20120713,0,1,0,430303.0
20120716,0,1,0,429573.0
20120717,0,1,0,429523.0
20120718,0,1,0,431293.0
20120719,0,1,0,431553.0
20120720,0,1,0,432373.0
20120723,0,1,0,432733.0
20120724,0,1,0,433433.0
20120725,0,1,0,432263.0
20120726,0,1,0,432643.0
20120727,0,1,0,431893.0
20120730,0,1,0,433883.0
20120731,0,1,0,433833.0
20120801,0,1,0,433453.0
20120802,0,0,0,431574.0
20120803,0,0,0,431574.0
20120806,0,0,0,431574.0
20120807,0,0,0,431574.0
20120808,0,0,0,431574.0
20120809,0,0,0,431574.0
20120810,0,0,0,431574.0
20120813,0,0,0,431574.0
20120814,0,0,0,431574.0
20120815,0,0,0,431574.0
20120816,0,0,0,431574.0
20120817,0,0,0,431574.0
20120820,0,0,0,431574.0
20120821,0,0,0,431574.0
20120822,0,0,0,431574.0
20120823,0,0,0,431574.0
20120824,0,0,0,431574.0
20120827,0,0,1,429010.0
20120828,0,0,1,429367.0
20120829,0,0,1,429174.0
20120830,0,0,1,429631.0
20120831,0,0,1,431601.0
20120903,0,0,1,432378.0
20120904,0,0,1,430198.0
20120905,0,0,1,428972.0
20120906,0,0,1,430018.0
20120907,0,0,1,430287.0
20120910,0,0,1,431038.0
20120911,0,0,1,431832.0
20120912,0,0,1,433071.0
20120913,0,0,1,432907.0
20120914,0,0,1,434092.0
20120917,0,0,0,429075.0
20120918,0,0,0,429075.0
20120919,0,0,0,429075.0
20120920,0,0,0,429075.0
20120921,0,0,0,429075.0
20120924,0,0,0,429075.0
20120925,0,0,0,429075.0
20120926,0,0,0,429075.0
20120927,0,0,0,429075.0
20120928,0,0,0,429075.0
20121001,0,1,0,429557.0
20121002,0,1,0,430067.0
20121003,0,1,0,428707.0
20121004,0,1,0,428817.0
20121005,0,1,0,428717.0
20121008,0,1,0,428787.0
20121009,0,1,0,429427.0
20121010,0,1,0,429507.0
20121011,0,1,0,430797.0
20121012,0,1,0,430867.0
20121015,0,1,0,429617.0
20121016,0,1,0,429127.0
20121017,0,1,0,429457.0
20121018,0,1,0,430627.0
20121019,0,1,0,430927.0
20121022,0,1,0,429277.0
20121023,1,1,0,429341.0
20121024,1,0,0,429238.0
20121025,1,0,0,428918.0
20121026,1,0,0,428688.0
20121029,1,0,0,429428.0
20121030,1,0,0,429288.0
20121031,1,0,0,428728.0
20121101,1,0,0,427878.0
20121102,1,0,0,430108.0
20121105,1,0,0,429318.0
20121106,1,0,0,426258.0
20121107,1,0,0,430528.0
20121108,1,0,0,429878.0
20121109,1,0,0,428898.0
20121112,1,0,0,429398.0
20121113,1,0,0,429588.0
20121114,1,0,0,428648.0
20121115,1,0,0,429528.0
20121116,0,0,0,427983.0
20121119,0,0,0,427983.0
20121120,0,0,0,427983.0
20121121,0,0,0,427983.0
20121123,0,0,0,427983.0
20121126,0,0,0,427983.0
20121127,0,0,0,427983.0
20121128,0,0,0,427983.0
20121129,0,0,0,427983.0
20121130,0,0,0,427983.0
20121203,0,0,0,427983.0
20121204,0,0,0,427983.0
20121205,0,0,0,427983.0
20121206,0,0,1,428774.0
20121207,0,0,1,429946.0
20121210,0,0,1,430748.0
20121211,0,0,1,429454.0
20121212,0,0,1,427783.0
20121213,0,0,1,428753.0
20121214,0,1,1,426869.0
20121217,0,1,1,427454.0
20121218,0,1,1,425166.0
20121219,0,1,0,424724.0
20121220,0,1,0,423304.0
20121221,0,1,0,423414.0
20121224,0,1,0,424454.0
20121226,0,1,0,423984.0
20121227,0,1,0,424114.0
20121228,0,1,0,423544.0
20121231,0,1,0,424724.0
20130102,0,1,0,425904.0
20130103,0,1,0,426254.0
20130104,0,1,0,425364.0
20130107,0,1,0,425574.0
20130108,0,1,0,426054.0
20130109,0,1,0,427104.0
20130110,0,1,0,426304.0
20130111,0,1,0,424964.0
20130114,0,1,0,424504.0
20130115,0,0,0,423927.0
20130116,0,0,0,423927.0
20130117,1,0,0,423915.0
20130118,1,0,0,424015.0
20130122,1,0,0,424655.0
20130123,1,0,0,423205.0
20130124,1,0,0,423925.0
20130125,1,0,0,423855.0
20130128,1,0,0,424415.0
20130129,1,0,0,425545.0
20130130,1,0,0,425915.0
20130131,1,0,0,425465.0
20130201,1,0,1,425689.0
20130204,1,0,1,423811.0
20130205,1,0,1,425848.0
20130206,0,0,1,424157.0
20130207,0,0,1,424732.0
20130208,0,0,1,426366.0
20130211,0,0,1,426076.0
20130212,0,0,1,426274.0
20130213,0,0,1,425543.0
20130214,0,0,1,425749.0
20130215,0,0,1,425190.0
20130219,0,0,1,423938.0
20130220,0,0,0,423060.0
20130221,0,0,0,423060.0
20130222,0,0,0,423060.0
20130225,0,0,0,423060.0
20130226,0,0,0,423060.0
20130227,0,0,0,423060.0
20130228,0,0,0,423060.0
20130301,0,0,0,423060.0
20130304,0,0,0,423060.0
20130305,0,0,0,423060.0
20130306,0,0,0,423060.0
20130307,0,0,0,423060.0
20130308,0,0,0,423060.0
20130311,0,0,0,423060.0
20130312,0,0,0,423060.0
20130313,0,0,0,423060.0
20130314,0,0,0,423060.0
20130315,0,0,0,423060.0
20130318,0,1,0,422296.0
20130319,0,1,1,422400.0
20130320,0,1,1,421134.0
20130321,0,1,1,420707.0
20130322,0,1,1,421131.0
20130325,0,1,1,420789.0
20130326,0,1,1,421647.0
20130327,0,1,1,420821.0
20130328,0,1,1,419953.0
20130329,0,1,1,419953.0
20130401,0,1,1,418951.0
20130402,0,1,1,417706.0
20130403,0,0,1,420938.0
20130404,0,0,1,422550.0
20130405,0,1,1,425874.0
20130408,0,1,1,423600.0
20130409,0,1,1,422631.0
20130410,0,1,1,423874.0
20130411,0,1,1,426463.0
20130412,0,1,1,428440.0
20130415,1,1,1,430424.0
20130416,1,1,1,431598.0
20130417,1,1,1,437197.0
20130418,1,1,1,436168.0
20130419,1,1,1,435611.0
20130422,1,1,1,432366.0
20130423,1,1,1,431989.0
20130424,1,1,0,428340.0
20130425,0,0,0,427100.0
20130426,0,0,0,427100.0
20130429,0,0,0,427100.0
20130430,0,0,0,427100.0
20130501,0,0,0,427100.0
20130502,0,0,0,427100.0
20130503,0,0,0,427100.0
20130506,0,0,0,427100.0
20130507,0,0,0,427100.0
20130508,0,0,0,427100.0
20130509,0,0,0,427100.0
20130510,0,0,0,427100.0
20130513,0,0,0,427100.0
20130514,0,0,0,427100.0
20130515,0,0,0,427100.0
20130516,0,0,0,427100.0
20130517,0,0,0,427100.0
20130520,0,0,0,427100.0
20130521,0,0,0,427100.0
20130522,0,0,0,427100.0
20130523,0,0,0,427100.0
20130524,0,0,0,427100.0
20130528,0,0,0,427100.0
20130529,0,0,0,427100.0
20130530,0,0,0,427100.0
20130531,0,0,0,427100.0
20130603,0,0,0,427100.0
20130604,0,0,0,427100.0
20130605,0,0,0,427100.0
20130606,0,0,0,427100.0
20130607,0,0,0,427100.0
20130610,0,0,0,427100.0
20130611,0,0,0,427100.0
20130612,0,0,0,427100.0
20130613,0,0,0,427100.0
20130614,0,0,0,427100.0
20130617,1,0,0,426198.0
20130618,1,0,0,426828.0
20130619,1,0,0,426638.0
20130620,1,0,0,423298.0
20130621,0,0,0,422448.0
20130624,0,0,0,422448.0
20130625,0,0,0,422448.0
20130626,0,0,0,422448.0
20130627,0,1,0,423138.0
20130628,0,1,0,423308.0
20130701,0,1,0,423188.0
20130702,1,1,0,422422.0
20130703,1,1,0,423702.0
20130705,1,1,0,426412.0
20130708,1,1,0,425092.0
20130709,1,1,0,426322.0
20130710,1,1,0,429082.0
20130711,1,1,0,428142.0
20130712,1,1,0,428872.0
20130715,1,1,0,428942.0
20130716,1,1,1,428608.0
20130717,1,1,1,430588.0
20130718,1,0,1,431511.0
20130719,1,0,1,431096.0
20130722,1,0,1,429200.0
20130723,1,0,1,429612.0
20130724,0,0,1,426856.0
20130725,0,0,1,426352.0
20130726,0,0,0,424911.0
20130729,0,1,0,424719.0
20130730,0,1,0,425119.0
20130731,0,1,0,424979.0
20130801,1,1,1,426128.0
20130802,1,1,1,424520.0
20130805,1,1,1,423613.0
20130806,1,1,1,420519.0
20130807,1,1,0,418652.0
20130808,1,1,0,417182.0
20130809,1,1,0,420422.0
20130812,1,1,0,419762.0
20130813,1,1,0,420732.0
20130814,1,0,0,419878.0
20130815,1,0,0,420358.0
20130816,1,0,0,420458.0
20130819,1,0,0,420028.0
20130820,1,0,0,418278.0
20130821,0,0,0,417037.0
20130822,0,0,0,417037.0
20130823,0,0,0,417037.0
20130826,0,0,0,417037.0
20130827,0,0,1,418368.0
20130828,1,0,1,419459.0
20130829,1,0,1,417193.0
20130830,1,0,1,413871.0
20130903,0,0,1,412172.0
20130904,0,0,1,411702.0
20130905,0,0,1,411811.0
20130906,0,0,1,412819.0
20130909,0,0,1,410912.0
20130910,0,0,0,409498.0
20130911,0,0,0,409498.0
20130912,0,0,0,409498.0
