CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20140131,-21250.0,-587.5,40750.0,42243.75,3110.0,19275.0,-10050.0,15276.8,24455.0,14951.6,
20140228,-19620.0,-587.5,39440.0,62062.5,8020.0,23325.0,-8570.0,14168.0,13660.0,14951.6,
20140331,-24630.0,-1437.5,35660.0,61162.5,5610.0,25825.0,-1920.0,14168.0,8925.0,13107.3,
20140430,-24630.0,-2250.0,35780.0,70781.25,9870.0,28450.0,-3540.0,14168.0,8925.0,13107.3,
20140530,-25930.0,-5075.0,36230.0,61368.75,6220.0,27475.0,-6240.0,14168.0,9270.0,14248.17,
20140630,-22780.0,-6475.0,30700.0,61368.75,6220.0,27400.0,-6240.0,14168.0,3175.0,13904.42,
20140731,-26460.0,-2650.0,30700.0,61368.75,10840.0,31162.5,-4360.0,15366.4,-1345.0,12653.3,
20140829,-28460.0,562.5,30700.0,61368.75,9020.0,34050.0,-2340.0,16452.8,-3225.0,13060.75,
20140930,-24880.0,6950.0,33750.0,54543.75,8480.0,39200.0,-5910.0,17124.8,2495.0,11856.1,
20141031,-15010.0,8262.5,37750.0,49687.5,7010.0,34287.5,-5910.0,17584.0,7250.0,12262.87,
20141128,-600.0,9437.5,37430.0,49687.5,400.0,34287.5,-5910.0,18088.0,10275.0,13575.37,
20141231,12610.0,13662.5,32590.0,49687.5,10270.0,34287.5,-5660.0,19286.4,10060.0,13325.37,
20150130,18120.0,23800.0,34910.0,49537.5,11940.0,34287.5,-1220.0,17964.8,910.0,17403.5,
20150227,17280.0,25062.5,28780.0,58631.25,11650.0,34287.5,690.0,18356.8,-1700.0,13934.1,
20150331,21430.0,30650.0,21570.0,61481.25,12830.0,33350.0,2820.0,20417.6,-1700.0,13934.1,
20150430,17190.0,25912.5,21570.0,60806.25,12110.0,32612.5,660.0,18939.2,-1700.0,13934.1,
20150529,16900.0,25912.5,21570.0,65043.75,9000.0,33137.5,660.0,18524.8,-1700.0,12152.5,
20150630,15660.0,25912.5,21570.0,63618.75,9000.0,34237.5,-520.0,18032.0,-1700.0,11495.02,
20150731,17460.0,25912.5,27610.0,66300.0,9000.0,30137.5,-1980.0,19521.6,1095.0,10526.9,
20150831,15920.0,23362.5,21190.0,63056.25,8470.0,29487.5,-1980.0,20025.6,2015.0,9606.35,
20150930,20330.0,22100.0,21190.0,64162.5,9230.0,29262.5,-1250.0,18928.0,-1550.0,11278.22,
20151030,16210.0,18381.25,16790.0,61762.5,14160.0,29550.0,-3460.0,20148.8,-4110.0,10231.35,
20151130,16720.0,21425.0,16070.0,61762.5,16230.0,29787.5,-4720.0,20608.0,-6425.0,9980.9,
20151231,22560.0,17875.0,16580.0,61762.5,15710.0,29600.0,-6240.0,20955.2,-6425.0,9980.9,
20160129,26950.0,16493.75,11880.0,60750.0,16070.0,29600.0,-6240.0,20462.4,-6425.0,10575.35,
20160229,28980.0,11525.0,17490.0,58668.75,22410.0,29600.0,-6240.0,19264.0,-11305.0,11872.22,
20160331,24670.0,12787.5,17420.0,55818.75,20690.0,30150.0,-6240.0,18132.8,-8575.0,11747.22,
