Date,EC,
20010328,0,500000
20010329,0,500000
20010330,0,500000
20010402,0,500000
20010403,0,500000
20010404,0,500000
20010405,0,500000
20010406,0,500000
20010409,0,500000
20010410,0,500000
20010411,0,500000
20010412,0,500000
20010416,0,500000
20010417,0,500000
20010418,0,500000
20010419,0,500000
20010420,0,500000
20010423,0,500000
20010424,0,500000
20010425,0,500000
20010426,0,500000
20010427,0,500000
20010430,0,500000
20010501,0,500000
20010502,0,500000
20010503,0,500000
20010504,0,500000
20010507,0,500000
20010508,0,500000
20010509,0,500000
20010510,0,500000
20010511,0,500000
20010514,0,500000
20010515,0,500000
20010516,0,500000
20010517,0,500000
20010518,0,500000
20010521,0,500000
20010522,0,500000
20010523,0,500000
20010524,0,500000
20010525,0,500000
20010529,0,500000
20010530,0,500000
20010531,0,500000
20010601,0,500000
20010604,0,500000
20010605,0,500000
20010606,0,500000
20010607,0,500000
20010608,0,500000
20010611,0,500000
20010612,0,500000
20010613,0,500000
20010614,0,500000
20010615,0,500000
20010618,0,500000
20010619,0,500000
20010620,0,500000
20010621,0,500000
20010622,0,500000
20010625,0,500000
20010626,0,500000
20010627,0,500000
20010628,0,500000
20010629,0,500000
20010702,0,500000
20010703,0,500000
20010705,0,500000
20010706,0,500000
20010709,0,500000
20010710,0,500000
20010711,0,500000
20010712,0,500000
20010713,0,500000
20010716,0,500000
20010717,0,500000
20010718,0,500000
20010719,0,500000
20010720,0,500000
20010723,0,500000
20010724,0,500000
20010725,0,500000
20010726,0,500000
20010727,0,500000
20010730,0,500000
20010731,0,500000
20010801,0,500000
20010802,0,500000
20010803,0,500000
20010806,0,500000
20010807,0,500000
20010808,0,500000
20010809,0,500000
20010810,0,500000
20010813,0,500000
20010814,0,500000
20010815,0,500000
20010816,0,500000
20010817,0,500000
20010820,0,500000
20010821,0,500000
20010822,0,500000
20010823,0,500000
20010824,0,500000
20010827,0,500000
20010828,0,500000
20010829,0,500000
20010830,0,500000
20010831,0,500000
20010904,0,500000
20010905,0,500000
20010906,0,500000
20010907,0,500000
20010910,0,500000
20010911,0,500000
20010913,0,500000
20010914,0,500000
20010917,0,500000
20010918,0,500000
20010919,0,500000
20010920,0,500000
20010921,0,500000
20010924,0,500000
20010925,0,500000
20010926,0,500000
20010927,0,500000
20010928,0,500000
20011001,0,500000
20011002,0,500000
20011003,0,500000
20011004,0,500000
20011005,0,500000
20011009,0,500000
20011010,0,500000
20011011,0,500000
20011012,0,500000
20011015,0,500000
20011016,0,500000
20011017,0,500000
20011018,0,500000
20011019,0,500000
20011022,0,500000
20011023,0,500000
20011024,0,500000
20011025,0,500000
20011026,0,500000
20011029,0,500000
20011030,0,500000
20011031,0,500000
20011101,0,500000
20011102,0,500000
20011105,0,500000
20011106,0,500000
20011107,0,500000
20011108,0,500000
20011109,0,500000
20011113,0,500000
20011114,0,500000
20011115,0,500000
20011116,0,500000
20011119,0,500000
20011120,0,500000
20011121,0,500000
20011123,0,500000
20011126,0,500000
20011127,0,500000
20011128,0,500000
20011129,0,500000
20011130,0,500000
20011203,0,500000
20011204,0,500000
20011205,0,500000
20011206,0,500000
20011207,0,500000
20011210,0,500000
20011211,0,500000
20011212,0,500000
20011213,0,500000
20011214,0,500000
20011217,0,500000
20011218,0,500000
20011219,0,500000
20011220,0,500000
20011221,0,500000
20011224,0,500000
20011226,0,500000
20011227,0,500000
20011228,0,500000
20011231,0,500000
20020102,0,500000
20020103,0,500000
20020104,0,500000
20020107,0,500000
20020108,0,500000
20020109,0,500000
20020110,0,500000
20020111,0,500000
20020114,0,500000
20020115,0,500000
20020116,0,500000
20020117,0,500000
20020118,0,500000
20020122,0,500000
20020123,0,500000
20020124,0,500000
20020125,0,500000
20020128,0,500000
20020129,0,500000
20020130,0,500000
20020131,0,500000
20020201,0,500000
20020204,0,500000
20020205,0,500000
20020206,0,500000
20020207,0,500000
20020208,0,500000
20020211,0,500000
20020212,0,500000
20020213,0,500000
20020214,0,500000
20020215,0,500000
20020219,0,500000
20020220,0,500000
20020221,0,500000
20020222,0,500000
20020225,0,500000
20020226,0,500000
20020227,0,500000
20020228,0,500000
20020301,0,500000
20020304,0,500000
20020305,0,500000
20020306,0,500000
20020307,0,500000
20020308,0,500000
20020311,0,500000
20020312,0,500000
20020313,0,500000
20020314,0,500000
20020315,0,500000
20020318,0,500000
20020319,0,500000
20020320,0,500000
20020321,0,500000
20020322,0,500000
20020325,0,500000
20020326,0,500000
20020327,0,500000
20020328,0,500000
20020401,0,500000
20020402,0,500000
20020403,0,500000
20020404,0,500000
20020405,0,500000
20020408,0,500000
20020409,0,500000
20020410,0,500000
20020411,0,500000
20020412,0,500000
20020415,0,500000
20020416,0,500000
20020417,0,500000
20020418,0,500000
20020419,0,500000
20020422,0,500000
20020423,0,500000
20020424,0,500000
20020425,0,500000
20020426,0,500000
20020429,0,500000
20020430,0,500000
20020501,0,500000
20020502,0,500000
20020503,0,500000
20020506,0,500000
20020507,0,500000
20020508,0,500000
20020509,0,500000
20020510,0,500000
20020513,0,500000
20020514,0,500000
20020515,0,500000
20020516,0,500000
20020517,0,500000
20020520,0,500000
20020521,0,500000
20020522,0,500000
20020523,0,500000
20020524,0,500000
20020528,0,500000
20020529,0,500000
20020530,1,500412.0
20020531,1,499612.0
20020603,1,500300.0
20020604,1,500750.0
20020605,1,500512.0
20020606,1,501312.0
20020607,1,501125.0
20020610,1,501050.0
20020611,1,501525.0
20020612,1,501200.0
20020613,1,500875.0
20020614,1,501325.0
20020617,1,500700.0
20020618,1,501575.0
20020619,1,502238.0
20020620,1,503162.0
20020621,1,503962.0
20020624,1,504025.0
20020625,1,504875.0
20020626,1,505962.0
20020627,1,506250.0
20020628,1,506712.0
20020701,1,506175.0
20020702,1,505700.0
20020703,1,505388.0
20020705,1,504438.0
20020708,1,506238.0
20020709,1,507075.0
20020710,1,506338.0
20020711,1,506675.0
20020712,1,506625.0
20020715,1,508512.0
20020716,1,508800.0
20020717,1,509000.0
20020718,1,509062.0
20020719,1,509525.0
20020722,1,508725.0
20020723,1,506125.0
20020724,1,507362.0
20020725,1,508088.0
20020726,1,506275.0
20020729,1,505462.0
20020730,1,505912.0
20020731,1,505012.0
20020801,1,505862.0
20020802,1,506250.0
20020805,1,505525.0
20020806,1,503550.0
20020807,1,504712.0
20020808,1,503662.0
20020809,1,504275.0
20020812,1,505325.0
20020813,1,505662.0
20020814,1,505738.0
20020815,1,505938.0
20020816,1,505962.0
20020819,1,505100.0
20020820,1,505375.0
20020821,1,505462.0
20020822,1,504312.0
20020823,1,504538.0
20020826,1,504575.0
20020827,1,505950.0
20020828,1,505562.0
20020829,1,506062.0
20020830,1,505675.0
20020903,1,507638.0
20020904,1,506988.0
20020905,1,507238.0
20020906,1,505725.0
20020909,1,505450.0
20020910,1,505000.0
20020911,1,505088.0
20020912,1,505838.0
20020913,1,504700.0
20020916,1,504062.0
20020917,1,504088.0
20020918,1,504725.0
20020919,1,505775.0
20020920,1,505275.0
20020923,1,504950.0
20020924,1,505388.0
20020925,1,504762.0
20020926,1,504925.0
20020927,1,505175.0
20020930,1,506075.0
20021001,1,505838.0
20021002,1,505838.0
20021003,1,506125.0
20021004,1,505262.0
20021007,1,505562.0
20021008,1,504950.0
20021009,1,506600.0
20021010,1,506088.0
20021011,1,506088.0
20021015,1,505400.0
20021016,1,505562.0
20021017,1,504325.0
20021018,1,504325.0
20021021,1,504625.0
20021022,1,505200.0
20021023,1,504950.0
20021024,1,505050.0
20021025,1,504988.0
20021028,1,505912.0
20021029,1,505975.0
20021030,1,505975.0
20021031,1,506538.0
20021101,1,507475.0
20021104,1,507562.0
20021105,1,507862.0
20021106,1,508250.0
20021107,1,509062.0
20021108,1,509550.0
20021112,1,509362.0
20021113,1,508775.0
20021114,1,508662.0
20021115,1,509062.0
20021118,1,509038.0
20021119,1,508350.0
20021120,1,508200.0
20021121,1,508125.0
20021122,1,507638.0
20021125,1,506888.0
20021126,1,507075.0
20021127,1,506900.0
20021129,1,507338.0
20021202,1,507712.0
20021203,1,507525.0
20021204,1,508050.0
20021205,1,508150.0
20021206,1,509250.0
20021209,1,509338.0
20021210,1,509262.0
20021211,1,509125.0
20021212,1,510450.0
20021213,1,510938.0
20021216,1,510438.0
20021217,1,511225.0
20021218,1,510925.0
20021219,1,511025.0
20021220,1,511038.0
20021223,1,510925.0
20021224,1,511525.0
20021226,1,512375.0
20021227,1,513225.0
20021230,1,513738.0
20021231,1,514038.0
20030102,1,512275.0
20030103,1,512938.0
20030106,1,513675.0
20030107,1,512950.0
20030108,1,513912.0
20030109,1,513862.0
20030110,1,515100.0
20030113,1,514662.0
20030114,1,514912.0
20030115,1,514650.0
20030116,1,515562.0
20030117,1,516012.0
20030121,1,516800.0
20030122,1,516812.0
20030123,1,517338.0
20030124,1,518338.0
20030127,1,518550.0
20030128,1,518125.0
20030129,1,518275.0
20030130,1,517975.0
20030131,1,517350.0
20030203,1,517512.0
20030204,1,518888.0
20030205,1,517975.0
20030206,1,518350.0
20030207,1,518338.0
20030210,1,517300.0
20030211,1,517125.0
20030212,1,516962.0
20030213,1,518462.0
20030214,1,517675.0
20030218,1,516575.0
20030219,1,517488.0
20030220,1,518312.0
20030221,1,517600.0
20030224,1,517925.0
20030225,1,517600.0
20030226,1,517938.0
20030227,1,517650.0
20030228,1,518088.0
20030303,1,519138.0
20030304,1,519062.0
20030305,1,520250.0
20030306,1,520262.0
20030307,1,520750.0
20030310,1,521175.0
20030311,1,520988.0
20030312,1,520650.0
20030313,1,518238.0
20030314,1,517438.0
20030317,1,515675.0
20030318,1,515600.0
20030319,1,514788.0
20030320,1,515450.0
20030321,1,514400.0
20030324,1,515825.0
20030325,1,515912.0
20030326,1,516300.0
20030327,1,516338.0
20030328,1,517538.0
20030331,1,519000.0
20030401,1,518900.0
20030402,1,517262.0
20030403,1,516950.0
20030404,1,516925.0
20030407,1,516000.0
20030408,1,516700.0
20030409,1,517350.0
20030410,1,517762.0
20030411,1,517238.0
20030414,1,517575.0
20030415,1,518025.0
20030416,1,519238.0
20030417,1,518888.0
20030421,1,518688.0
20030422,1,520000.0
20030423,1,519925.0
20030424,1,520712.0
20030425,1,520712.0
20030428,1,520175.0
20030429,1,521262.0
20030430,1,522638.0
20030501,1,523275.0
20030502,1,523288.0
20030505,1,523950.0
20030506,1,525700.0
20030507,1,525125.0
20030508,1,526675.0
20030509,1,526588.0
20030512,1,527450.0
20030513,1,526925.0
20030514,1,526800.0
20030515,1,525500.0
20030516,1,527712.0
20030519,1,528650.0
20030520,1,529400.0
20030521,1,528900.0
20030522,1,529250.0
20030523,1,530562.0
20030527,1,531275.0
20030528,1,530075.0
20030529,1,531438.0
20030530,1,530438.0
20030602,1,530075.0
20030603,1,529938.0
20030604,1,529188.0
20030605,1,531175.0
20030606,1,529375.0
20030609,1,529875.0
20030610,1,529112.0
20030611,1,530112.0
20030612,1,530188.0
20030613,1,531512.0
20030616,1,530725.0
20030617,1,530238.0
20030618,1,528862.0
20030619,1,529125.0
20030620,1,527525.0
20030623,1,527162.0
20030624,1,526612.0
20030625,1,526988.0
20030626,1,525675.0
20030627,1,525550.0
20030630,1,526512.0
20030701,1,527350.0
20030702,1,527138.0
20030703,1,526412.0
20030707,1,524400.0
20030708,1,524162.0
20030709,1,524612.0
20030710,1,525225.0
20030711,1,524288.0
20030714,1,523900.0
20030715,1,522838.0
20030716,1,523038.0
20030717,1,523075.0
20030718,1,524012.0
20030721,1,524725.0
20030722,1,524550.0
20030723,1,526212.0
20030724,1,526262.0
20030725,1,526800.0
20030728,1,526738.0
20030729,1,526238.0
20030730,1,524950.0
20030731,1,523475.0
20030801,1,523750.0
20030804,1,524888.0
20030805,1,524838.0
20030806,1,524800.0
20030807,1,525112.0
20030808,1,524175.0
20030811,1,525012.0
20030812,1,524388.0
20030813,1,524400.0
20030814,1,523612.0
20030815,1,523675.0
20030818,1,522425.0
20030819,1,522350.0
20030820,1,522062.0
20030821,1,519650.0
20030822,1,519125.0
20030825,1,519088.0
20030826,1,519125.0
20030827,1,519100.0
20030828,1,518938.0
20030829,1,520225.0
20030902,1,518400.0
20030903,1,518625.0
20030904,1,519675.0
20030905,1,521938.0
20030908,1,521812.0
20030909,1,523425.0
20030910,1,523288.0
20030911,1,523138.0
20030912,1,524225.0
20030915,1,524050.0
20030916,1,522450.0
20030917,1,524038.0
20030918,1,523338.0
20030919,1,524750.0
20030922,1,526362.0
20030923,1,526138.0
20030924,1,526375.0
20030925,1,526400.0
20030926,1,526212.0
20030929,1,527650.0
20030930,1,528400.0
20031001,1,529238.0
20031002,1,528988.0
20031003,1,527362.0
20031006,1,529112.0
20031007,1,530025.0
20031008,1,530400.0
20031009,1,529638.0
20031010,1,530450.0
20031014,1,529588.0
20031015,1,528525.0
20031016,1,527950.0
20031017,1,528575.0
20031020,1,528662.0
20031021,1,528562.0
20031022,1,530525.0
20031023,1,530238.0
20031024,1,530612.0
20031027,1,529725.0
20031028,1,529012.0
20031029,1,528862.0
20031030,1,528350.0
20031031,1,527638.0
20031103,1,526238.0
20031104,1,526675.0
20031105,1,525988.0
20031106,1,525662.0
20031107,1,527150.0
20031110,1,526662.0
20031112,1,528412.0
20031113,1,529662.0
20031114,1,530138.0
20031117,1,530112.0
20031118,1,532450.0
20031119,1,531588.0
20031120,1,531938.0
20031121,1,532012.0
20031124,1,530175.0
20031125,1,530375.0
20031126,1,532100.0
20031128,1,532950.0
20031201,1,532750.0
20031202,1,534112.0
20031203,1,534362.0
20031204,1,534362.0
20031205,1,535175.0
20031208,1,535888.0
20031209,1,536100.0
20031210,1,535862.0
20031211,1,535838.0
20031212,1,536825.0
20031215,1,536512.0
20031216,1,536900.0
20031217,1,537775.0
20031218,1,538100.0
20031219,1,537625.0
20031222,1,537888.0
20031223,1,537700.0
20031224,1,538475.0
20031226,1,538250.0
20031229,1,538950.0
20031230,1,539638.0
20031231,1,539825.0
20040102,1,540350.0
20040105,1,541275.0
20040106,1,542362.0
20040107,1,540925.0
20040108,1,542388.0
20040109,1,543375.0
20040112,1,542262.0
20040113,1,542250.0
20040114,1,541225.0
20040115,1,540125.0
20040116,1,537612.0
20040120,1,539975.0
20040121,1,540788.0
20040122,1,541775.0
20040123,1,540400.0
20040126,1,538812.0
20040127,1,540812.0
20040128,1,539325.0
20040129,1,537988.0
20040130,1,538750.0
20040202,1,538075.0
20040203,1,539812.0
20040204,1,539650.0
20040205,1,539712.0
20040206,1,541650.0
20040209,1,541575.0
20040210,1,541825.0
20040211,1,543138.0
20040212,1,542938.0
20040213,1,542212.0
20040217,1,543500.0
20040218,1,541850.0
20040219,1,541800.0
20040220,1,539488.0
20040223,1,539788.0
20040224,1,541650.0
20040225,1,539250.0
20040226,1,538550.0
20040227,1,539262.0
20040301,1,538662.0
20040302,1,535962.0
20040303,1,535525.0
20040304,1,535525.0
20040305,1,537788.0
20040308,1,538012.0
20040309,1,537500.0
20040310,1,536038.0
20040311,1,537100.0
20040312,1,535925.0
20040315,1,536050.0
20040316,1,536112.0
20040317,1,535800.0
20040318,1,537475.0
20040319,1,536262.0
20040322,1,536975.0
20040323,1,536838.0
20040324,1,534425.0
20040325,1,534525.0
20040326,1,534300.0
20040329,1,534625.0
20040330,1,535025.0
20040331,1,536650.0
20040401,1,537238.0
20040402,1,534538.0
20040405,1,533012.0
20040406,1,534050.0
20040407,1,535088.0
20040408,1,533850.0
20040412,1,533775.0
20040413,1,532188.0
20040414,1,532388.0
20040415,1,532650.0
20040416,1,532788.0
20040419,1,533112.0
20040420,1,531762.0
20040421,1,530862.0
20040422,1,531588.0
20040423,1,530925.0
20040426,1,531425.0
20040427,1,532138.0
20040428,1,530962.0
20040429,1,532500.0
20040430,1,532762.0
20040503,1,532225.0
20040504,1,534112.0
20040505,1,535100.0
20040506,1,533975.0
20040507,1,531662.0
20040510,1,531312.0
20040511,1,531288.0
20040512,1,531875.0
20040513,1,530788.0
20040514,1,531538.0
20040517,1,533138.0
20040518,1,532338.0
20040519,1,533225.0
20040520,1,532050.0
20040521,1,533138.0
20040524,1,533250.0
20040525,1,534388.0
20040526,1,534488.0
20040527,1,536500.0
20040528,1,535775.0
20040601,1,535925.0
20040602,1,535912.0
20040603,1,535812.0
20040604,1,536750.0
20040607,1,537038.0
20040608,1,536425.0
20040609,1,533688.0
20040610,1,534450.0
20040614,1,533688.0
20040615,1,534975.0
20040616,1,532962.0
20040617,1,533712.0
20040618,1,534662.0
20040621,1,534225.0
20040622,1,534125.0
20040623,1,534038.0
20040624,1,535025.0
20040625,1,534912.0
20040628,1,535275.0
20040629,1,533975.0
20040630,1,535375.0
20040701,1,535125.0
20040702,1,537012.0
20040706,1,536800.0
20040707,1,537562.0
20040708,1,537900.0
20040709,1,538050.0
20040712,1,538012.0
20040713,1,537138.0
20040714,1,537925.0
20040715,1,537225.0
20040716,1,538600.0
20040719,1,538438.0
20040720,1,537162.0
20040721,1,535988.0
20040722,1,536038.0
20040723,1,534250.0
20040726,1,534788.0
20040727,1,533562.0
20040728,1,533775.0
20040729,1,533500.0
20040730,1,533238.0
20040802,1,533500.0
20040803,1,533688.0
20040804,1,533562.0
20040805,1,533850.0
20040806,1,536512.0
20040809,1,536525.0
20040810,1,535962.0
20040811,1,535775.0
20040812,1,536325.0
20040813,1,537725.0
20040816,1,537538.0
20040817,1,537375.0
20040818,1,537188.0
20040819,1,537700.0
20040820,1,536938.0
20040823,1,534912.0
20040824,1,534038.0
20040825,1,534212.0
20040826,1,534425.0
20040827,1,533400.0
20040830,1,533750.0
20040831,1,535262.0
20040901,1,535475.0
20040902,1,535112.0
20040903,1,533975.0
20040907,1,534488.0
20040908,1,535488.0
20040909,1,535538.0
20040910,1,536488.0
20040913,1,536288.0
20040914,1,536262.0
20040915,1,535012.0
20040916,1,535425.0
20040917,1,535325.0
20040920,1,535175.0
20040921,1,537050.0
20040922,1,536312.0
