EC,JY,BP,
20200831,-47168.75,15350.0,-16437.5,
20200930,-50006.25,15712.5,-18343.75,
20201030,-51012.5,16587.5,-18700.0,
20201130,-47318.75,16950.0,-21093.75,
20201231,-44000.0,18043.75,-23043.75,
20210129,-45287.5,17431.25,-22756.25,
20210226,-48756.25,19587.5,-21250.0,
20210331,-44206.25,23987.5,-22312.5,
20210430,-47837.5,22537.5,-22125.0,
20210528,-49987.5,23062.5,-19718.75,
20210630,-45475.0,24425.0,-22168.75,
20210730,-45487.5,23093.75,-22743.75,
20210831,-44856.25,22825.0,-21900.0,
20210930,-49787.5,21356.25,-20118.75,
20211029,-50318.75,19968.75,-22868.75,
20211130,-47293.75,19143.75,-25412.5,
20211231,-47906.25,17225.0,-23893.75,
20220131,-46043.75,15100.0,-24368.75,
20220228,-45706.25,15000.0,-24618.75,
20220331,-43637.5,21143.75,-27656.25,
