Date,C_,S_,W_,
20101027,1,1,0,1020312.0
20101028,1,1,0,1020462.0
20101029,1,1,0,1020612.0
20101101,1,1,0,1020325.0
20101102,1,1,0,1020200.0
20101103,1,1,0,1020638.0
20101104,1,1,0,1022950.0
20101105,1,1,0,1023300.0
20101108,1,1,0,1022712.0
20101109,1,1,1,1023200.0
20101110,1,1,0,1021662.0
20101111,1,1,0,1022500.0
20101112,0,1,1,1018775.0
20101115,0,1,1,1019475.0
20101116,0,1,1,1018462.0
20101117,0,0,1,1018225.0
20101118,0,0,1,1017588.0
20101119,0,0,1,1017625.0
20101122,0,0,1,1017575.0
20101123,0,0,1,1017750.0
20101124,0,0,1,1017475.0
20101126,0,0,1,1017438.0
20101129,0,0,1,1015325.0
20101130,0,0,1,1017338.0
20101201,0,0,0,1015312.0
20101202,0,0,0,1015312.0
20101203,0,0,0,1015312.0
20101206,0,0,0,1015312.0
20101207,0,0,1,1014488.0
20101208,0,0,1,1014450.0
20101209,0,0,1,1014675.0
20101210,0,0,1,1014025.0
20101213,0,0,1,1014262.0
20101214,0,0,1,1013412.0
20101215,0,1,1,1012925.0
20101216,0,1,1,1011800.0
20101217,0,1,0,1012075.0
20101220,0,1,0,1012900.0
20101221,0,1,0,1013450.0
20101222,0,1,0,1013575.0
20101223,0,1,0,1014612.0
20101227,0,1,0,1015788.0
20101228,1,1,0,1016075.0
20101229,1,1,0,1015625.0
20101230,1,1,0,1015225.0
20101231,1,1,0,1017225.0
20110103,1,1,1,1015312.0
20110104,1,1,1,1013425.0
20110105,1,1,1,1016112.0
20110106,1,1,1,1013512.0
20110107,1,1,1,1011762.0
20110110,1,1,1,1012800.0
20110111,1,1,0,1011550.0
20110112,1,1,0,1015650.0
20110113,1,1,0,1016275.0
20110114,1,1,0,1016912.0
20110118,1,1,0,1016988.0
20110119,1,1,0,1015988.0
20110120,1,1,0,1016762.0
20110121,1,1,1,1016788.0
20110124,1,1,1,1016838.0
20110125,1,1,1,1014925.0
20110126,1,1,1,1017075.0
20110127,1,1,1,1016912.0
20110128,1,1,1,1015475.0
20110131,1,1,1,1017750.0
20110201,1,1,1,1019075.0
