Date,TY,FV,US,ES,NQ,EM,
20100713,0,0,0,0,0,0,505093.0
20100714,0,0,0,0,0,0,505093.0
20100715,0,0,0,0,0,0,505093.0
20100716,0,0,0,0,0,0,505093.0
20100719,0,0,0,0,0,0,505093.0
20100720,0,0,0,0,0,0,505093.0
20100721,0,0,0,0,0,0,505093.0
20100722,0,0,0,0,0,0,505093.0
20100723,0,0,0,0,0,0,505093.0
20100726,0,0,0,0,0,0,505093.0
20100727,0,0,0,0,0,0,505093.0
20100728,0,0,0,0,0,0,505093.0
20100729,0,0,0,0,0,0,505093.0
20100730,0,0,0,0,0,0,505093.0
20100802,0,0,0,0,0,0,505093.0
20100803,0,0,0,0,0,0,505093.0
20100804,0,0,0,0,0,0,505093.0
20100805,0,0,0,0,0,0,505093.0
20100806,0,0,0,0,0,0,505093.0
20100809,0,0,0,0,0,0,505093.0
20100810,0,0,0,0,0,0,505093.0
20100811,1,1,1,0,0,0,505088.0
20100812,1,1,1,0,0,0,504463.0
20100813,1,1,1,0,0,0,505541.0
20100816,1,1,1,0,0,0,508424.0
20100817,1,1,1,0,0,0,506674.0
20100818,1,1,1,0,0,0,506994.0
20100819,1,1,1,0,0,0,508572.0
20100820,1,1,1,0,0,0,507502.0
20100823,1,1,1,0,0,0,507901.0
20100824,1,1,1,0,0,0,510690.0
20100825,1,1,1,0,0,0,509361.0
20100826,1,1,1,0,0,0,510604.0
20100827,1,0,1,0,0,0,506616.0
20100830,0,0,0,0,0,0,506250.0
20100831,0,0,1,0,0,0,506906.0
20100901,0,0,1,0,0,0,505063.0
20100902,0,0,1,0,0,0,504406.0
20100903,0,0,0,0,0,0,502914.0
20100907,0,0,0,0,0,0,502914.0
20100908,0,0,0,0,0,0,502914.0
20100909,0,0,0,0,0,0,502914.0
20100910,0,0,0,0,0,0,502914.0
20100913,0,0,0,0,0,0,502914.0
20100914,0,0,0,0,1,0,502749.0
20100915,0,0,0,0,1,0,503089.0
20100916,0,0,0,0,1,0,503294.0
20100917,0,0,0,0,1,0,503354.0
20100920,0,0,0,1,1,0,504057.0
20100921,0,0,0,1,1,0,504045.0
20100922,0,0,0,1,1,0,503675.0
20100923,0,0,0,1,1,0,503252.0
20100924,0,0,0,1,1,0,505125.0
20100927,0,0,0,1,1,0,504630.0
20100928,0,0,0,1,1,0,504855.0
20100929,0,0,0,1,1,0,504827.0
20100930,0,0,0,1,1,0,504345.0
20101001,0,0,0,1,1,0,504600.0
20101004,0,0,0,1,0,0,503985.0
20101005,0,0,0,1,1,0,505148.0
20101006,1,0,0,1,1,0,504717.0
20101007,1,0,0,1,1,0,504996.0
20101008,1,1,0,1,1,0,505398.0
20101011,1,1,0,1,1,0,505752.0
20101012,1,1,0,1,1,0,505517.0
20101013,1,1,0,1,1,0,506658.0
20101014,1,1,0,1,1,0,505904.0
20101015,1,1,0,1,1,0,506202.0
20101018,1,1,0,1,1,0,507331.0
20101019,1,1,0,0,1,0,506421.0
20101020,1,1,0,0,1,0,506785.0
20101021,1,1,0,1,1,0,505706.0
20101022,0,1,0,1,1,0,505994.0
20101025,0,1,0,1,1,0,506036.0
20101026,0,0,0,1,1,0,505722.0
20101027,0,0,0,1,1,0,505677.0
20101028,0,0,0,1,1,0,505742.0
20101029,0,0,0,1,1,0,505692.0
