Date,EC,JY,BP,
20100928,1,1,1,520606.0
20100929,1,1,1,521281.0
20100930,1,1,1,521256.0
20101001,1,1,1,524356.0
20101004,1,1,1,522888.0
20101005,1,1,1,525450.0
20101006,1,1,1,527125.0
20101007,1,1,1,527869.0
20101008,1,1,1,528981.0
20101011,1,1,1,527994.0
20101012,1,1,1,528781.0
20101013,1,1,1,529588.0
20101014,1,1,1,532444.0
20101015,1,1,1,530894.0
20101018,1,1,1,530125.0
20101019,1,1,1,525819.0
20101020,1,1,1,530606.0
20101021,1,1,1,528719.0
20101022,1,1,1,528956.0
20101025,1,1,1,530412.0
20101026,1,1,1,528675.0
20101027,1,1,1,526481.0
20101028,1,1,1,530944.0
20101029,1,1,1,533006.0
20101101,1,1,1,532069.0
20101102,1,1,1,533656.0
20101103,1,1,1,534325.0
20101104,1,1,1,536938.0
20101105,1,1,1,533225.0
20101108,1,1,1,531775.0
20101109,1,1,1,527969.0
20101110,1,1,1,527950.0
20101111,1,1,1,526100.0
20101112,1,1,1,526306.0
20101115,1,1,1,523600.0
20101116,1,1,1,520950.0
20101117,1,1,1,521744.0
20101118,1,1,1,523356.0
20101119,1,0,1,523350.0
20101122,1,0,1,522688.0
20101123,1,0,1,518331.0
20101124,0,0,1,518331.0
20101126,0,0,1,517325.0
20101129,0,0,0,517212.0
20101130,0,0,0,517212.0
20101201,0,0,0,517212.0
20101202,0,0,0,517212.0
20101203,0,0,0,517212.0
20101206,0,0,0,517212.0
20101207,0,0,0,517212.0
20101208,0,0,0,517212.0
20101209,0,0,0,517212.0
20101210,0,0,0,517212.0
20101213,0,0,0,517212.0
20101214,0,0,0,517212.0
20101215,0,0,0,517212.0
20101216,0,0,0,517212.0
20101217,0,0,0,517212.0
20101220,0,0,0,517212.0
20101221,0,0,0,517212.0
20101222,0,0,0,517212.0
20101223,0,0,0,517212.0
20101227,0,0,0,517212.0
20101228,0,0,0,517212.0
20101229,0,0,0,517212.0
20101230,0,0,0,517212.0
20101231,0,0,0,517212.0
20110103,0,0,0,517212.0
20110104,0,0,0,517212.0
20110105,0,0,0,517212.0
20110106,0,0,0,517212.0
20110107,0,0,0,517212.0
20110110,0,0,0,517212.0
20110111,0,0,0,517212.0
20110112,0,0,0,517212.0
20110113,0,0,0,517212.0
20110114,0,0,0,517212.0
20110118,0,0,0,517212.0
20110119,0,0,0,517212.0
20110120,0,0,0,517212.0
20110121,0,0,0,517212.0
20110124,0,0,0,517212.0
20110125,0,0,0,517212.0
20110126,0,0,0,517212.0
20110127,0,0,0,517212.0
20110128,0,0,0,517212.0
20110131,0,0,0,517212.0
20110201,0,0,0,517212.0
20110202,0,0,0,517212.0
20110203,0,0,0,517212.0
20110204,0,0,0,517212.0
20110207,0,0,0,517212.0
20110208,0,0,0,517212.0
20110209,0,0,0,517212.0
20110210,0,0,0,517212.0
20110211,0,0,0,517212.0
20110214,0,0,0,517212.0
20110215,0,0,0,517212.0
20110216,0,0,0,517212.0
20110217,0,0,0,517212.0
20110218,0,0,0,517212.0
20110222,0,0,0,517212.0
20110223,0,0,0,517212.0
20110224,0,0,0,517212.0
20110225,0,0,0,517212.0
20110228,0,0,0,517212.0
20110301,0,0,0,517212.0
20110302,0,0,0,517212.0
20110303,0,0,0,517212.0
20110304,0,0,0,517212.0
20110307,1,0,0,516888.0
20110308,1,0,0,516075.0
20110309,1,0,0,516112.0
20110310,1,0,0,514775.0
20110311,1,0,0,515938.0
20110314,1,0,0,517238.0
20110315,1,0,0,517300.0
20110316,1,1,0,517325.0
20110317,1,1,0,520738.0
20110318,1,1,0,518862.0
20110321,1,1,0,519562.0
20110322,1,1,0,519550.0
20110323,1,1,0,518688.0
20110324,1,1,0,519250.0
20110325,1,1,0,516950.0
20110328,1,1,0,516812.0
20110329,1,1,0,515238.0
20110330,1,0,0,515512.0
20110331,1,0,0,515988.0
20110401,1,0,0,516962.0
20110404,1,0,0,516738.0
20110405,1,0,0,516825.0
20110406,1,1,0,518700.0
20110407,1,1,0,517425.0
20110408,1,1,0,518950.0
20110411,1,1,0,518588.0
20110412,1,1,0,517663.0
20110413,1,1,0,517288.0
20110414,1,1,0,517200.0
20110415,1,1,0,515975.0
20110418,1,1,0,512575.0
20110419,1,1,0,513462.0
20110420,1,0,0,515875.0
20110421,1,0,0,516212.0
20110425,1,0,0,516750.0
20110426,1,0,0,517338.0
20110427,1,0,0,518675.0
20110428,1,0,1,519794.0
20110429,1,0,1,520400.0
20110502,1,0,1,520394.0
20110503,1,0,1,518712.0
20110504,1,0,1,519394.0
20110505,1,0,1,514475.0
20110506,1,0,1,512088.0
20110509,1,0,1,512250.0
20110510,1,0,1,512744.0
20110511,1,0,1,510219.0
20110512,1,0,1,510288.0
20110513,1,0,1,508112.0
20110516,1,0,0,509019.0
20110517,1,0,0,509494.0
20110518,1,0,0,509469.0
20110519,1,0,0,510556.0
20110520,1,0,0,509244.0
20110523,1,0,0,507444.0
20110524,0,0,0,507219.0
20110525,0,0,0,507219.0
20110526,0,0,0,507219.0
20110527,0,0,0,507219.0
20110531,0,0,0,507219.0
20110601,0,0,0,507219.0
20110602,0,0,0,507219.0
20110603,0,0,0,507219.0
20110606,0,0,0,507219.0
20110607,0,0,0,507219.0
20110608,0,0,0,507219.0
20110609,0,0,0,507219.0
20110610,0,0,0,507219.0
20110613,0,0,0,507219.0
20110614,0,0,0,507219.0
20110615,0,0,0,507219.0
20110616,0,0,0,507219.0
20110617,0,0,0,507219.0
20110620,0,0,0,507219.0
20110621,0,0,0,507219.0
20110622,0,0,0,507219.0
20110623,0,0,0,507219.0
20110624,0,0,0,507219.0
20110627,0,0,0,507219.0
20110628,0,0,0,507219.0
20110629,0,0,0,507219.0
20110630,0,0,0,507219.0
20110701,0,0,0,507219.0
20110705,0,0,0,507219.0
20110706,0,0,0,507219.0
20110707,0,0,0,507219.0
20110708,0,0,0,507219.0
20110711,0,0,0,507219.0
20110712,0,0,0,507219.0
20110713,0,0,0,507219.0
20110714,0,0,0,507219.0
20110715,0,0,0,507219.0
20110718,0,0,0,507219.0
20110719,0,0,0,507219.0
20110720,0,0,0,507219.0
20110721,0,0,0,507219.0
20110722,0,0,0,507219.0
20110725,0,0,0,507219.0
20110726,0,0,0,507219.0
20110727,0,1,0,507044.0
20110728,0,1,0,507544.0
20110729,0,1,0,509794.0
20110801,0,1,0,509006.0
20110802,0,1,0,508806.0
20110803,0,1,0,509444.0
20110804,0,1,0,505006.0
20110805,0,1,0,506244.0
20110808,0,1,0,507944.0
20110809,0,1,0,509019.0
20110810,0,1,0,509706.0
20110811,0,1,0,509519.0
20110812,0,1,0,509669.0
20110815,0,1,0,509706.0
20110816,0,1,0,509731.0
20110817,0,1,0,510294.0
20110818,0,1,0,510219.0
20110819,0,1,0,510256.0
20110822,0,1,0,509731.0
20110823,0,1,0,509756.0
20110824,0,1,0,509194.0
20110825,0,1,0,508006.0
20110826,0,1,0,509819.0
20110829,0,1,0,509369.0
20110830,0,1,0,509869.0
20110831,0,1,0,509856.0
20110901,0,1,0,509544.0
20110902,0,1,0,509706.0
20110906,0,1,0,507831.0
20110907,0,1,0,508469.0
20110908,0,1,0,508169.0
20110909,1,1,0,511031.0
20110912,1,1,1,512238.0
20110913,1,1,1,511750.0
20110914,1,1,1,511912.0
20110915,1,1,1,509988.0
20110916,1,1,1,510794.0
20110919,1,1,1,513744.0
20110920,1,1,1,513531.0
20110921,1,1,1,514106.0
20110922,1,1,1,518444.0
20110923,1,1,1,517444.0
20110926,1,1,1,517288.0
20110927,1,1,1,513581.0
20110928,1,1,1,515300.0
20110929,1,1,1,515138.0
20110930,1,1,1,516194.0
20111003,1,1,1,520312.0
20111004,1,1,1,520044.0
20111005,1,1,1,518456.0
20111006,1,1,1,518069.0
20111007,1,1,1,517306.0
20111010,1,1,1,513419.0
20111011,1,1,1,514056.0
20111012,1,1,1,510050.0
20111013,1,1,1,510938.0
20111014,1,1,1,508700.0
20111017,1,1,1,511631.0
20111018,1,1,1,511994.0
20111019,1,1,1,511575.0
20111020,1,1,1,510988.0
