TY,FV,US,
20120531,-5182.01,-8946.44,26557.37,
20120629,-5348.04,-8946.44,25588.22,
20120731,-5348.04,-9493.95,25588.22,
20120831,-5348.04,-10049.13,25588.22,
20120928,-6280.41,-10049.13,22372.3,
20121031,-7441.45,-10429.43,22372.3,
20121130,-7441.45,-10429.43,19956.4,
20121231,-8602.22,-10429.43,18251.92,
20130131,-9202.75,-10889.94,20035.15,
20130228,-9681.56,-11256.84,19807.03,
20130328,-10913.1,-11722.25,16433.41,
20130430,-10821.17,-11685.65,16626.59,
20130531,-10475.3,-11069.36,15481.93,
20130628,-8087.8,-9783.67,19669.43,
20130731,-8939.01,-10263.36,20173.55,
20130830,-8939.01,-10263.36,19706.52,
20130930,-10599.12,-10543.72,19706.52,
20131031,-10599.12,-10543.72,19706.52,
20131129,-10599.12,-10543.72,19706.52,
20131231,-10860.32,-10543.72,18391.51,
20140131,-11999.36,-11412.83,18391.51,
20140228,-11999.36,-11412.83,18391.51,
20140331,-11999.36,-11537.53,18391.51,
20140430,-11999.36,-12171.91,18391.51,
20140530,-13414.89,-12171.91,20194.28,
20140630,-13414.89,-12171.91,19706.78,
20140731,-13414.89,-12171.91,18077.22,
20140829,-13797.13,-12171.91,19169.99,
20140930,-15176.83,-12054.19,18963.74,
20141031,-15649.85,-12385.19,20012.37,
20141128,-14962.35,-12385.19,20012.37,
20141231,-18331.6,-12385.19,18113.34,
20150130,-15903.87,-11568.58,22997.86,
20150227,-19055.17,-12282.64,21635.6,
20150331,-19055.17,-12282.64,23445.52,
20150430,-19055.17,-12282.64,23801.77,
20150529,-20536.12,-12282.64,23801.77,
20150630,-20429.01,-12750.47,23801.77,
20150731,-20429.01,-12750.47,23801.77,
20150831,-22358.95,-13713.86,19337.48,
20150930,-22466.56,-13733.45,19337.48,
20151030,-22485.65,-13736.46,19337.48,
20151130,-23622.79,-13503.76,15907.89,
20151231,-25400.61,-14096.34,10759.56,
20160129,-26716.52,-14831.7,12268.68,
20160229,-26108.14,-15496.7,15799.15,
20160331,-27167.25,-16243.28,13879.13,
20160429,-27167.25,-16243.28,13879.13,
20160531,-27167.25,-16596.33,13879.13,
20160630,-26632.93,-17924.06,16551.49,
20160729,-27807.93,-18442.81,15563.99,
20160831,-27807.93,-18442.81,15563.99,
20160930,-27807.93,-18442.81,15563.99,
20161031,-28544.61,-18993.21,14864.66,
20161130,-25694.64,-16682.07,26302.16,
20161230,-25117.49,-16574.49,26258.91,
20170131,-25117.49,-16574.49,26258.91,
20170228,-25117.49,-16574.49,26258.91,
20170331,-26564.6,-17381.59,24395.14,
20170428,-26928.66,-17438.84,22661.01,
20170531,-27008.7,-18491.44,22661.01,
20170630,-26949.32,-18491.44,20531.85,
20170731,-26949.32,-18491.44,20531.85,
20170831,-27235.73,-18836.44,19423.93,
20170929,-27921.64,-18868.63,15682.2,
20171031,-28793.44,-18520.19,11672.83,
20171130,-29352.88,-18479.74,10779.08,
20171229,-29352.88,-18318.8,8542.81,
20180131,-27224.1,-17273.33,13730.31,
20180228,-26925.64,-16615.87,16117.81,
20180329,-27271.86,-16819.45,15692.81,
20180430,-27271.86,-16819.45,15692.81,
20180531,-27886.54,-17174.22,13621.87,
20180629,-27886.54,-17174.22,13621.87,
20180731,-27886.54,-17174.22,13621.87,
20180831,-27886.54,-17174.22,13621.87,
20180928,-27626.2,-16778.31,14758.4,
20181031,-27985.32,-16768.94,16989.1,
20181130,-27985.32,-16768.94,16660.17,
20181231,-26722.06,-15887.97,17711.02,
20190131,-26478.56,-15877.48,17257.09,
20190228,-27323.02,-16323.05,17257.09,
20190329,-26685.47,-16023.05,18123.56,
20190430,-27511.66,-16461.47,15761.06,
20190531,-25425.32,-15188.65,20102.15,
20190628,-24547.2,-14520.97,21614.65,
20190731,-25861.85,-15026.51,20886.55,
20190830,-23816.68,-14146.15,23993.58,
20190930,-24507.31,-14563.34,21241.34,
