Date,ES,
20110302,0,95788.0
20110303,0,95788.0
20110304,0,95788.0
20110307,0,95788.0
20110308,0,95788.0
20110309,0,95788.0
20110310,0,95788.0
20110311,1,96575.0
20110314,0,95988.0
20110315,0,95988.0
20110316,1,95925.0
20110317,1,96662.0
20110318,0,97400.0
20110321,0,97400.0
20110322,0,97400.0
20110323,0,97400.0
20110324,0,97400.0
20110325,0,97400.0
20110328,0,97400.0
20110329,0,97400.0
20110330,0,97400.0
20110331,0,97400.0
20110401,0,97400.0
20110404,0,97400.0
20110405,0,97400.0
20110406,0,97400.0
20110407,0,97400.0
20110408,0,97400.0
20110411,1,97438.0
20110412,1,96875.0
20110413,1,96900.0
20110414,1,96975.0
20110415,1,97400.0
20110418,1,96512.0
20110419,0,96575.0
20110420,0,96575.0
20110421,0,96575.0
20110425,0,96575.0
20110426,0,96575.0
20110427,0,96575.0
20110428,0,96575.0
20110429,0,96575.0
20110502,0,96575.0
20110503,0,96575.0
20110504,1,96438.0
20110505,1,96038.0
20110506,1,96012.0
20110509,1,96425.0
20110510,1,96975.0
20110511,0,96825.0
20110512,0,96825.0
20110513,0,96825.0
20110516,0,96825.0
20110517,1,97000.0
20110518,1,97650.0
20110519,0,97825.0
20110520,0,97825.0
20110523,0,97825.0
20110524,0,97825.0
20110525,1,98188.0
20110526,0,98062.0
20110527,0,98062.0
20110531,0,98062.0
20110601,0,98062.0
20110602,0,98062.0
20110603,0,98062.0
20110606,0,98062.0
20110607,1,98138.0
20110608,1,97750.0
20110609,1,98275.0
20110610,0,98000.0
20110613,0,98000.0
20110614,0,98000.0
20110615,0,98000.0
20110616,0,98000.0
20110617,0,98000.0
20110620,0,98000.0
20110621,0,98000.0
20110622,0,98000.0
20110623,0,98000.0
20110624,0,98000.0
20110627,0,98000.0
20110628,0,98000.0
20110629,0,98000.0
20110630,0,98000.0
20110701,0,98000.0
20110705,0,98000.0
20110706,0,98000.0
20110707,0,98000.0
20110708,0,98000.0
20110711,0,98000.0
20110712,1,97950.0
20110713,1,98025.0
20110714,0,98212.0
20110715,0,98212.0
20110718,0,98212.0
20110719,0,98212.0
20110720,0,98212.0
20110721,0,98212.0
20110722,0,98212.0
20110725,0,98212.0
20110726,1,98188.0
20110727,1,96825.0
20110728,1,96712.0
20110729,1,96300.0
20110801,1,95862.0
20110802,0,95500.0
20110803,0,95500.0
20110804,0,95500.0
20110805,0,95500.0
20110808,0,95500.0
20110809,0,95500.0
20110810,0,95500.0
20110811,0,95500.0
20110812,0,95500.0
20110815,1,94912.0
20110816,1,95225.0
20110817,1,95338.0
20110818,1,97662.0
20110819,0,98600.0
20110822,0,98600.0
20110823,0,98600.0
20110824,0,98600.0
20110825,1,99812.0
20110826,0,100088.0
20110829,0,100088.0
20110830,1,100288.0
20110831,0,99525.0
20110901,0,99525.0
20110902,0,99525.0
20110906,0,99525.0
20110907,0,99525.0
20110908,0,99525.0
20110909,0,99525.0
20110912,0,99525.0
20110913,0,99525.0
20110914,1,99012.0
20110915,1,97912.0
20110916,1,97538.0
20110919,1,98238.0
20110920,1,98325.0
20110921,1,100338.0
20110922,0,101750.0
20110923,0,101750.0
20110926,0,101750.0
20110927,1,102262.0
20110928,1,103300.0
20110929,0,102462.0
20110930,0,102462.0
20111003,0,102462.0
20111004,0,102462.0
20111005,0,102462.0
20111006,1,101650.0
20111007,1,101775.0
20111010,1,99975.0
20111011,1,100050.0
20111012,1,99612.0
20111013,0,99750.0
20111014,0,99750.0
20111017,0,99750.0
20111018,0,99750.0
20111019,0,99750.0
20111020,0,99750.0
20111021,0,99750.0
20111024,1,99200.0
20111025,1,100325.0
20111026,0,99612.0
20111027,0,99612.0
20111028,0,99612.0
20111031,0,99612.0
20111101,0,99612.0
20111102,0,99612.0
20111103,0,99612.0
20111104,0,99612.0
20111107,0,99612.0
20111108,0,99612.0
20111109,0,99612.0
20111110,0,99612.0
20111111,0,99612.0
20111114,0,99612.0
20111115,0,99612.0
20111116,0,99612.0
20111117,0,99612.0
20111118,0,99612.0
20111121,0,99612.0
20111122,0,99612.0
20111123,0,99612.0
20111125,0,99612.0
20111128,0,99612.0
20111129,0,99612.0
20111130,1,98762.0
20111201,1,98888.0
20111202,1,98888.0
20111205,1,98312.0
20111206,1,98312.0
20111207,0,98388.0
20111208,0,98388.0
20111209,0,98388.0
20111212,0,98388.0
20111213,0,98388.0
20111214,0,98388.0
20111215,0,98388.0
20111216,0,98388.0
20111219,0,98388.0
20111220,0,98388.0
20111221,0,98388.0
20111222,1,98025.0
20111223,1,97462.0
20111227,1,97462.0
20111228,1,98250.0
20111229,1,97600.0
20111230,1,97850.0
20120103,1,96875.0
20120104,0,97038.0
20120105,0,97038.0
20120106,0,97038.0
20120109,0,97038.0
20120110,0,97038.0
20120111,0,97038.0
20120112,0,97038.0
20120113,0,97038.0
20120117,0,97038.0
20120118,0,97038.0
20120119,0,97038.0
20120120,0,97038.0
20120123,0,97038.0
20120124,0,97038.0
20120125,0,97038.0
20120126,0,97038.0
20120127,0,97038.0
20120130,1,97450.0
20120131,1,97412.0
20120201,1,97988.0
20120202,0,98075.0
20120203,0,98075.0
20120206,0,98075.0
20120207,0,98075.0
20120208,0,98075.0
20120209,0,98075.0
20120210,0,98075.0
20120213,0,98075.0
20120214,0,98075.0
20120215,0,98075.0
