CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20140131,-21500.0,-21618.75,79335.0,61731.25,45470.0,54700.0,-59180.0,31618.2,24105.0,101207.6,
20140228,-18240.0,-21618.75,76715.0,101368.75,50380.0,66850.0,-43970.0,20280.2,13285.0,101207.6,
20140331,-28310.0,-25018.75,69155.0,99568.75,47970.0,74350.0,15880.0,20280.2,8525.0,88122.5,
20140430,-28310.0,-28368.75,69345.0,118806.25,52230.0,82225.0,1300.0,20280.2,8525.0,88122.5,
20140530,-30910.0,-42618.75,69795.0,99931.25,48555.0,79300.0,-23225.0,20280.2,8870.0,96108.62,
20140630,-24610.0,-46818.75,64240.0,99931.25,48555.0,74825.0,-23225.0,20280.2,2750.0,93702.37,
20140731,-32020.0,-35343.75,64240.0,99931.25,53175.0,78587.5,-19465.0,27470.6,-1770.0,84769.5,
20140829,-34020.0,-25706.25,64240.0,99931.25,51355.0,81475.0,-15425.0,33989.0,-3675.0,86806.75,
20140930,-30440.0,-6543.75,67290.0,93081.25,50790.0,86625.0,-22615.0,38021.0,2045.0,80658.5,
20141031,-20570.0,-2606.25,71290.0,88200.0,47850.0,81687.5,-22615.0,40776.2,6800.0,82692.37,
20141128,-6160.0,918.75,70970.0,88200.0,37215.0,81687.5,-22615.0,43800.2,9825.0,89254.87,
20141231,7050.0,13593.75,66105.0,88200.0,47085.0,81687.5,-21615.0,50990.6,9610.0,88004.87,
20150130,12560.0,44006.25,68425.0,88050.0,48755.0,81687.5,-3855.0,42911.0,435.0,108395.5,
20150227,11720.0,47793.75,62270.0,97143.75,48465.0,81687.5,3785.0,45263.0,-2200.0,90923.5,
20150331,15870.0,64556.25,55035.0,99993.75,49645.0,79812.5,12305.0,57627.8,-2200.0,90923.5,
20150430,11605.0,50268.75,55035.0,99318.75,48925.0,78287.5,3565.0,48757.4,-2200.0,90923.5,
20150529,11315.0,50268.75,55035.0,103556.25,43120.0,79862.5,3565.0,46121.0,-2200.0,85503.7,
20150630,10075.0,50268.75,55035.0,102131.25,43120.0,80287.5,25.0,43164.2,-2200.0,84188.75,
20150731,11850.0,50268.75,61075.0,104812.5,43120.0,72037.5,-4430.0,52101.8,595.0,82202.5,
20150831,10310.0,47718.75,54630.0,101543.75,42060.0,71387.5,-4430.0,55125.8,1515.0,80361.4,
20150930,14720.0,46431.25,54630.0,102650.0,45250.0,71162.5,-2240.0,48390.2,-2075.0,83705.15,
20151030,10575.0,42687.5,50230.0,100225.0,60040.0,71450.0,-8945.0,53273.4,-4635.0,81611.4,
20151130,11085.0,45731.25,49485.0,100225.0,66250.0,71687.5,-11465.0,55110.2,-6975.0,81060.5,
20151231,16925.0,42181.25,49995.0,100225.0,64690.0,71475.0,-14555.0,56499.0,-6975.0,81060.5,
20160129,21315.0,40775.0,45270.0,99212.5,65770.0,71475.0,-14555.0,54427.8,-6975.0,82249.4,
20160229,23345.0,35781.25,50880.0,97068.75,84790.0,71475.0,-14555.0,49634.2,-11855.0,84843.15,
20160331,19010.0,37043.75,50810.0,91318.75,79630.0,74775.0,-14555.0,44046.2,-9125.0,84593.15,
20160429,19900.0,37706.25,56300.0,87031.25,75775.0,107625.0,-14555.0,39609.2,2405.0,82355.3,
20160531,22400.0,34793.75,51115.0,80118.75,75775.0,122250.0,-14555.0,39609.2,-6475.0,82355.3,
20160630,21100.0,34406.25,46820.0,83475.0,84795.0,153150.0,-15695.0,47572.4,-4260.0,87044.37,
20160729,18685.0,33231.25,49760.0,83681.25,84535.0,115950.0,-6270.0,43271.6,4360.0,87231.87,
20160831,13130.0,32712.5,45255.0,79943.75,77505.0,115950.0,-13870.0,46665.2,-5200.0,83075.9,
20160930,13130.0,32712.5,45255.0,77600.0,73565.0,115950.0,14980.0,54863.6,-5200.0,83075.9,
20161031,13130.0,33987.5,46765.0,78662.5,73815.0,115950.0,7030.0,50058.8,-6735.0,84133.5,
20161130,13130.0,33175.0,49690.0,74493.75,71240.0,116475.0,3105.0,49379.0,-10070.0,85350.0,
20161230,12670.0,34125.0,51910.0,75975.0,71240.0,112725.0,4785.0,47631.8,-7605.0,85818.75,
20170131,10980.0,31393.75,45115.0,69725.0,71240.0,108425.0,6855.0,40184.6,-13975.0,85443.75,
20170228,9965.0,31393.75,45115.0,69725.0,71600.0,108425.0,4875.0,40184.6,-13975.0,84239.4,
20170331,8415.0,28812.5,45115.0,69725.0,68210.0,111100.0,3750.0,43096.6,-13975.0,84239.4,
20170428,6060.0,29162.5,42665.0,70587.5,66835.0,111112.5,1870.0,44687.0,-13975.0,85552.45,
20170531,2415.0,33350.0,39650.0,72106.25,66835.0,113125.0,860.0,47509.4,-17710.0,87302.45,
20170630,2005.0,35306.25,35605.0,74337.5,66845.0,111500.0,2750.0,50376.6,-18700.0,85771.2,
20170731,-160.0,40225.0,31590.0,71068.75,69085.0,109175.0,-1300.0,47912.6,-22995.0,85219.0,
20170831,-160.0,40868.75,33600.0,71068.75,66955.0,105075.0,-1375.0,47616.2,-23750.0,84911.2,
20170929,-180.0,39556.25,29305.0,71068.75,66820.0,105075.0,2065.0,47616.2,-28500.0,81181.4,
20171031,2300.0,38068.75,29305.0,71068.75,64850.0,105075.0,-2625.0,47616.2,-28500.0,79680.87,
20171130,5130.0,35031.25,29305.0,71068.75,62375.0,105075.0,-2625.0,46048.2,-28400.0,81649.62,
20171229,8110.0,35031.25,25740.0,69925.0,63005.0,102300.0,-2625.0,40754.8,-30850.0,81649.62,
20180131,12470.0,39025.0,26990.0,68700.0,61510.0,99525.0,-4485.0,41930.8,-30850.0,89055.87,
20180228,6495.0,36143.75,24470.0,67050.0,57925.0,101750.0,-4815.0,41057.2,-30850.0,91962.12,
20180329,6495.0,36843.75,23555.0,69937.5,57925.0,97200.0,585.0,44518.0,-30850.0,88680.87,
20180430,8075.0,36731.25,22825.0,67912.5,57925.0,97200.0,3665.0,47172.4,-30850.0,93227.75,
20180531,6465.0,42012.5,24805.0,67637.5,57645.0,94912.5,1705.0,44275.0,-30850.0,85802.3,
20180629,6440.0,42606.25,29825.0,69925.0,57085.0,101937.5,-325.0,44275.0,-33090.0,82761.6,
20180731,335.0,42593.75,32875.0,73825.0,55495.0,99987.5,7315.0,48217.4,-29895.0,82761.6,
20180831,335.0,42575.0,35565.0,82187.5,55495.0,103762.5,7555.0,47993.4,-24260.0,82761.6,
20180928,885.0,42575.0,36615.0,81700.0,55235.0,103662.5,1865.0,44085.4,-25035.0,83318.8,
20181031,-2920.0,44837.5,33870.0,72837.5,59075.0,102412.5,1865.0,44085.4,-22885.0,84693.8,
20181130,9880.0,45256.25,33870.0,71368.75,85155.0,102412.5,1865.0,42909.4,-25775.0,82162.4,
20181231,15670.0,43931.25,40650.0,71368.75,63825.0,93662.5,1865.0,41490.4,-20395.0,93795.2,
20190131,7530.0,43218.75,48190.0,71368.75,63825.0,93662.5,7465.0,41490.4,-15075.0,97420.2,
20190228,6625.0,42081.25,46370.0,71368.75,63825.0,93662.5,14425.0,41490.4,-20435.0,91045.2,
20190329,6625.0,41831.25,39380.0,71593.75,63825.0,94837.5,655.0,41490.4,-24075.0,108795.2,
20190430,8175.0,42106.25,38350.0,73037.5,63825.0,99212.5,525.0,41490.4,-24640.0,104420.2,
20190531,3970.0,43100.0,36805.0,71437.5,64185.0,96837.5,-610.0,42476.0,-22555.0,126420.2,
20190628,-760.0,41443.75,43605.0,72450.0,66765.0,95387.5,-930.0,40404.8,-25175.0,136170.2,
20190731,-2385.0,44856.25,44725.0,68900.0,67905.0,95387.5,-1720.0,36328.0,-21395.0,131795.2,
20190830,-6795.0,50031.25,53885.0,68900.0,66945.0,95387.5,1270.0,44716.8,-12435.0,160920.2,
20190930,-13755.0,53856.25,48235.0,68900.0,57530.0,95387.5,100.0,38897.0,-19155.0,138836.0,
20191031,-17930.0,44687.5,48920.0,68900.0,57530.0,91387.5,2740.0,38897.0,-13810.0,138836.0,
20191129,-17930.0,44687.5,47890.0,71731.25,51920.0,87087.5,4670.0,38348.2,-16525.0,138836.0,
20191231,-16530.0,45287.5,45315.0,75725.0,52990.0,87087.5,3370.0,42111.4,-21800.0,137990.1,
20200131,-20045.0,39112.5,49675.0,69718.75,56240.0,89525.0,10295.0,51441.0,-27000.0,137335.17,
20200228,-12975.0,41087.5,47555.0,69718.75,57930.0,87875.0,9755.0,51362.6,-30815.0,146944.55,
20200331,11685.0,25400.0,37450.0,69718.75,59130.0,88887.5,15995.0,54066.0,-24635.0,158757.05,
20200430,18985.0,25400.0,47210.0,69718.75,56225.0,94625.0,17095.0,55611.6,-28065.0,159882.05,
20200529,2380.0,25400.0,50700.0,70693.75,56305.0,96800.0,11665.0,51982.8,-34350.0,160678.92,
20200630,2380.0,23000.0,44665.0,68518.75,59345.0,92900.0,11665.0,46658.4,-34350.0,154369.4,
20200731,2380.0,43475.0,58085.0,64156.25,59565.0,93025.0,11665.0,46658.4,-13875.0,157053.2,
20200831,2380.0,48725.0,57355.0,72406.25,74495.0,108275.0,11665.0,32367.2,7240.0,146984.0,
20200930,2380.0,40212.5,47900.0,46506.25,34215.0,125775.0,90205.0,15554.8,-20775.0,146984.0,
20201030,-3655.0,40925.0,47900.0,46506.25,34215.0,135400.0,104065.0,25634.8,-20775.0,155863.65,
20201130,-13385.0,40250.0,54020.0,46506.25,30165.0,163462.5,112465.0,28154.8,-23160.0,133612.2,
20201231,-7445.0,53525.0,41935.0,46506.25,39855.0,198587.5,81875.0,44618.8,-35300.0,134549.7,
20210129,-185.0,48375.0,38075.0,38631.25,29280.0,213337.5,81875.0,50330.8,-47460.0,145018.45,
20210226,18375.0,42450.0,50225.0,52693.75,29280.0,221275.0,114905.0,76202.8,-50100.0,177205.95,
20210331,13635.0,50668.75,51785.0,41200.0,29280.0,229400.0,162965.0,52307.8,-56760.0,195018.45,
20210430,22375.0,29981.25,43720.0,43412.5,29280.0,261337.5,178895.0,51367.0,-65000.0,184080.95,
20210528,27835.0,29981.25,46450.0,59087.5,17380.0,260400.0,208325.0,54346.2,-66305.0,170238.2,
20210630,42655.0,29981.25,35295.0,55562.5,33020.0,242150.0,169040.0,47664.0,-73300.0,155034.5,
20210730,28765.0,29981.25,35295.0,70412.5,44300.0,242150.0,169040.0,44035.2,-78315.0,168706.37,
20210831,28765.0,29981.25,26340.0,80350.0,62020.0,242150.0,169040.0,52681.6,-70380.0,165862.62,
20210930,28535.0,30881.25,23340.0,78925.0,118940.0,242150.0,169040.0,51606.4,-60585.0,158720.25,
20211029,37625.0,32456.25,20225.0,86387.5,94060.0,241587.5,169040.0,47788.0,-71225.0,164157.75,
20211130,28610.0,44556.25,15410.0,105625.0,78120.0,236037.5,169040.0,50924.0,-71225.0,156415.2,
20211231,28610.0,42106.25,15410.0,100975.0,78070.0,237987.5,157065.0,39885.0,-80050.0,156415.2,
20220131,31270.0,34012.5,15410.0,107725.0,67105.0,260675.0,157065.0,45798.6,-80050.0,159910.2,
20220228,40670.0,25350.0,19000.0,107487.5,67105.0,283212.5,164925.0,45261.0,-84270.0,161785.2,
20220331,46560.0,31556.25,23840.0,100681.25,78115.0,280437.5,163425.0,36773.0,-80435.0,174500.8,
