20000131,EC,1,sell,1,0.9811
20000201,EC,1,liqShort,0,0.9736
20010112,EC,1,buy,1,0.954
20010301,EC,1,liqLong,0,0.9243
20020510,EC,1,buy,1,0.9081
20020903,EC,1,liqLong,0,0.9817
20030106,EC,1,buy,1,1.0392
20030324,EC,1,liqLong,0,1.0555
20030903,EC,1,sell,1,1.0806
20030923,EC,1,liqShort,0,1.1435
20040105,EC,1,buy,1,1.2607
20040301,EC,1,liqLong,0,1.249
20041104,EC,1,buy,1,1.2824
20050121,EC,1,liqLong,0,1.2965
20050601,EC,1,sell,1,1.2307
20050801,EC,1,liqShort,0,1.2148
20061212,EC,1,buy,1,1.3252
20070129,EC,1,liqLong,0,1.295
20070919,EC,1,buy,1,1.4009
20080201,EC,1,liqLong,0,1.483
20080916,EC,1,sell,1,1.4211
20081216,EC,1,liqShort,0,1.3667
20090601,EC,1,buy,1,1.4133
20091201,EC,1,liqLong,0,1.5005
20100121,EC,1,sell,1,1.4107
20100716,EC,1,liqShort,0,1.2931
20101019,EC,1,buy,1,1.3938
20101124,EC,1,liqLong,0,1.338
20111003,EC,1,sell,1,1.3353
20111028,EC,1,liqShort,0,1.4175
20120106,EC,1,sell,1,1.2798
20120223,EC,1,liqShort,0,1.3249
20130206,EC,1,buy,1,1.3587
20130226,EC,1,liqLong,0,1.3063
20130328,EC,1,sell,1,1.2786
20130401,EC,1,liqShort,0,1.2819
20130920,EC,1,buy,1,1.3533
20131111,EC,1,liqLong,0,1.3358
20140611,EC,1,sell,1,1.3545
20150102,EC,1,liqShort,0,1.211
20150311,EC,1,sell,1,1.0685
20150501,EC,1,liqShort,0,1.1224
20151109,EC,1,sell,1,1.0735
20160104,EC,1,liqShort,0,1.0884
20160407,EC,1,buy,1,1.1417
20160520,EC,1,liqLong,0,1.1208
20161111,EC,1,sell,1,1.0897
20161201,EC,1,liqShort,0,1.06
20170601,EC,1,buy,1,1.1251
20171024,EC,1,liqLong,0,1.1784
20180604,EC,1,sell,1,1.1673
20180829,EC,1,liqShort,0,1.1708
20200309,EC,1,buy,1,1.13485
20200316,EC,1,liqLong,0,1.1214
20200320,EC,1,sell,1,1.0714
20200327,EC,1,liqShort,0,1.107
20200722,EC,1,buy,1,1.15465
20201030,EC,1,liqLong,0,1.1684
20210106,EC,1,buy,1,1.2316
20210201,EC,1,liqLong,0,1.21415
20211111,EC,1,sell,1,1.1485
20220103,EC,1,liqShort,0,1.1394
20220506,EC,1,sell,1,1.0556
20220701,EC,1,liqShort,0,1.0536
20220823,EC,1,sell,1,0.99585
20221027,EC,1,liqShort,0,1.0121
20221202,EC,1,buy,1,1.0537
20230227,EC,1,liqLong,0,1.05535
20231003,EC,1,sell,1,1.0513
20231101,EC,1,liqShort,0,1.0596
20231220,EC,1,buy,1,1.1024
20010105,JY,1,sell,1,0.8732
20010524,JY,1,liqShort,0,0.8346
