CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20131231,-53770.0,-17231.25,45630.0,22850.0,4060.0,-32350.0,-9420.0,20513.6,60465.0,3320.15,
20140131,-58820.0,-21031.25,41850.0,22462.5,11600.0,-32837.5,-10090.0,21476.8,57810.0,254.53,
20140228,-56790.0,-16806.25,42040.0,37250.0,24820.0,-25687.5,-8280.0,20497.2,65265.0,598.28,
20140331,-56980.0,-17368.75,40240.0,37262.5,24820.0,-23137.5,-2210.0,20620.4,65265.0,-432.97,
20140430,-57890.0,-16168.75,38000.0,32206.25,24820.0,-20637.5,-3830.0,19858.8,65630.0,488.9,
20140530,-54550.0,-18293.75,43010.0,32206.25,24820.0,-21612.5,-6310.0,18868.0,68090.0,2363.9,
20140630,-52460.0,-19068.75,34720.0,27150.0,20700.0,-19350.0,-9520.0,19092.0,62185.0,2020.15,
20140731,-56760.0,-15243.75,30550.0,24343.75,24510.0,-15850.0,-4300.0,20828.0,58965.0,1457.65,
20140829,-56580.0,-12031.25,30130.0,25075.0,22690.0,-12962.5,700.0,21914.4,54260.0,3223.28,
20140930,-53000.0,-7562.5,36310.0,17037.5,21940.0,-8687.5,700.0,22586.4,65345.0,32.65,
20141031,-43420.0,-6250.0,33700.0,11981.25,19010.0,-14400.0,-2690.0,23045.6,69200.0,-1892.35,
20141128,-34040.0,-5075.0,33380.0,11981.25,11860.0,-16562.5,-2080.0,23549.6,64145.0,-579.85,
20141231,-22450.0,-1268.75,27480.0,18206.25,18660.0,-16512.5,-2040.0,24748.0,57095.0,-829.85,
20150130,-17210.0,7106.25,31380.0,13700.0,20330.0,-16762.5,2400.0,24445.6,56360.0,3248.28,
20150227,-18050.0,8368.75,22420.0,22518.75,20040.0,-20162.5,4070.0,25543.2,52025.0,795.15,
20150331,-16720.0,12187.5,17360.0,25368.75,21220.0,-17237.5,6200.0,27318.8,46970.0,1904.53,
20150430,-15400.0,6031.25,17360.0,24693.75,20500.0,-17375.0,3950.0,25840.4,46970.0,1373.28,
20150529,-15690.0,968.75,13800.0,28337.5,14110.0,-15275.0,2870.0,23164.4,43225.0,1310.78,
20150630,-16930.0,968.75,12060.0,24218.75,15800.0,-15137.5,-450.0,23130.8,42135.0,-1442.35,
20150731,-10160.0,-731.25,18300.0,24500.0,14650.0,-19987.5,-1710.0,24620.4,46315.0,-2707.97,
20150831,-9680.0,-6725.0,14710.0,18675.0,13500.0,-21275.0,-3220.0,25124.4,49370.0,-3101.72,
