CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20140228,-38817.09,-290.67,15314.21,38276.51,10985.84,19493.64,-5836.16,10612.86,36988.98,11707.81,
20140331,-43877.09,-2265.67,11564.21,37376.51,8575.84,21993.64,813.84,10612.86,31920.5,11707.81,
20140430,-43877.09,-3128.17,11564.21,46995.26,12835.84,24618.64,-806.16,10612.86,31920.5,11707.81,
20140530,-43877.09,-3128.17,11564.21,37532.76,9135.84,23643.64,-3556.16,10612.86,26848.37,11598.43,
20140630,-44857.09,-4526.67,11564.21,37532.76,9135.84,21431.14,-3556.16,10612.86,26848.37,11254.68,
20140731,-48587.09,-701.67,11564.21,37532.76,11655.84,24956.14,-3556.16,11419.26,22337.8,9953.56,
20140829,-50578.19,2510.83,11564.21,37532.76,9835.84,27843.64,-1446.16,12505.66,21782.8,10036.66,
20140930,-46998.19,8898.33,12964.21,37532.76,9245.84,32993.64,-5066.16,13177.66,27521.39,8782.01,
20141031,-37128.19,10210.83,16964.21,32476.51,9245.84,28031.14,-5066.16,13636.86,32276.39,7797.63,
20141128,-22718.19,11385.83,16644.21,32476.51,2277.98,28031.14,-5066.16,14140.86,35301.39,9110.13,
20141231,-9508.19,15610.83,11754.21,32476.51,12154.89,28031.14,-5506.16,15339.26,35086.39,8860.13,
20150130,-3998.19,25748.33,10184.21,27417.8,13824.89,28031.14,-1066.16,13967.66,24606.39,12938.26,
20150227,-4838.19,27010.83,6694.21,27417.8,13534.89,28031.14,843.84,13967.66,24606.39,9418.86,
20150331,-688.19,32598.33,1635.07,29705.3,14714.89,28031.14,2973.84,15726.06,24606.39,9418.86,
20150430,-4972.27,27810.83,1635.07,29030.3,13994.89,28031.14,763.84,14247.66,24606.39,9418.86,
20150529,-5262.27,27810.83,1635.07,33267.8,13454.89,28031.14,763.84,13783.26,24606.39,7602.45,
20150630,-6502.27,27810.83,1635.07,31842.8,13454.89,30843.4,-411.95,12999.26,24606.39,6352.45,
20150731,-4750.4,27810.83,5415.07,34524.05,13454.89,26693.4,-1921.95,14488.86,23873.98,5334.33,
20150831,-6290.4,24298.33,-1054.93,31680.3,13454.89,26046.0,-1921.95,14992.86,19553.98,5334.33,
20150930,-1880.4,22985.83,-1054.93,30011.55,13454.89,25821.0,-1921.95,13845.26,19553.98,5334.33,
20151030,-6050.4,22985.83,-1054.93,27561.55,17734.89,26108.5,-1921.95,14976.46,19553.98,4026.64,
20151130,-6050.4,26035.76,-662.34,27561.55,19804.89,26346.0,-3175.98,15435.66,19553.98,3726.19,
20151231,-1265.15,22485.76,-152.34,27561.55,19284.89,26108.5,-4745.98,15782.86,19553.98,3726.19,
20160129,3124.85,21054.51,-4902.34,27561.55,19644.89,26108.5,-4745.98,14680.06,19553.98,4321.98,
20160229,5154.85,16363.05,714.66,27561.55,25984.89,26108.5,-4745.98,13056.06,14485.03,5618.86,
20160331,794.85,17234.86,644.66,24730.3,24264.89,26108.5,-4745.98,11885.06,14485.03,5493.86,
20160429,794.85,17897.36,6134.66,22561.55,22954.89,29371.0,-4745.98,10972.66,18535.03,4349.93,
20160531,794.85,14959.86,924.66,22561.55,22954.89,31808.5,-4745.98,10972.66,9630.03,4349.93,
20160630,794.85,14959.86,754.66,25234.99,26114.89,36958.5,-7335.98,13636.18,11853.0,5568.68,
20160729,314.85,13434.86,3694.66,25441.24,25984.89,30733.5,-5619.64,12202.58,20473.0,5631.18,
20160831,-4265.15,12891.11,-835.34,21678.74,22444.89,30733.5,-7139.64,13333.78,10888.0,4220.86,
20160930,-4265.15,12891.11,-835.34,21678.74,22444.89,30733.5,-1369.64,16066.58,10888.0,4220.86,
20161031,-4265.15,13034.86,-2695.34,21884.99,19004.89,30733.5,-2959.64,14464.98,10888.0,4355.9,
20161130,-4265.15,14559.05,-5885.34,17691.24,16408.94,29596.0,-3769.64,14213.38,10888.0,6088.15,
20161230,-4265.15,15509.05,-3625.34,19173.13,16408.94,27696.0,-3201.03,13777.16,10888.0,6322.52,
